frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,90.840,130.197,177.601,14.345,174.337,15.386,0.995116,-0.057064,0.080349,0.005598,0
1,0.033,90.913,130.285,177.543,14.406,174.434,15.297,0.995193,-0.055948,0.080181,0.005540,0
2,0.067,91.169,130.593,177.568,14.380,174.097,15.608,0.995015,-0.059216,0.080044,0.005588,0
3,0.100,91.821,131.377,177.953,13.968,173.876,15.812,0.994885,-0.059903,0.081141,0.005591,0
4,0.133,91.439,130.917,178.304,13.593,173.573,16.091,0.994482,-0.064685,0.082361,0.006104,0
5,0.167,91.374,130.840,178.216,13.687,173.700,15.974,0.995609,-0.056274,0.074627,0.005204,0
6,0.200,91.358,130.820,177.759,14.176,174.056,15.646,0.995249,-0.057047,0.078697,0.005607,0
7,0.233,91.538,131.037,177.795,14.137,174.166,15.544,0.996217,-0.050196,0.070787,0.004683,0
8,0.267,91.307,130.759,177.701,14.238,173.928,15.764,0.995990,-0.052385,0.072365,0.004851,0
9,0.300,90.642,129.959,177.261,14.708,173.894,15.795,0.996162,-0.051339,0.070740,0.004737,0
10,0.333,90.685,130.010,177.714,14.224,173.964,15.731,0.995726,-0.053904,0.074804,0.005367,0
11,0.367,90.168,129.389,177.894,14.031,173.894,15.795,0.995672,-0.055293,0.074499,0.005431,0
12,0.400,90.761,130.102,178.137,13.772,173.756,15.922,0.996569,-0.048532,0.066883,0.004568,0
13,0.433,91.157,130.578,177.643,14.300,173.743,15.934,0.995522,-0.056331,0.075707,0.005586,0
14,0.467,90.717,130.049,177.964,13.956,173.954,15.740,0.996177,-0.051038,0.070722,0.005006,0
15,0.500,91.115,130.527,177.825,14.105,173.968,15.727,0.996231,-0.049980,0.070732,0.004862,0
16,0.533,90.926,130.300,177.482,14.472,174.300,15.421,0.996606,-0.046745,0.067615,0.004363,0
17,0.567,90.815,130.167,177.690,14.250,174.188,15.524,0.995739,-0.053577,0.074871,0.005284,0
18,0.600,90.546,129.844,177.688,14.252,174.186,15.526,0.994988,-0.058120,0.081138,0.006134,0
19,0.633,90.116,129.326,177.456,14.499,174.522,15.216,0.995929,-0.049651,0.075049,0.005251,0
20,0.667,90.534,129.829,177.633,14.311,174.474,15.260,0.996586,-0.045510,0.068740,0.004504,0
21,0.700,91.075,130.480,177.562,14.386,174.689,15.062,0.996559,-0.045413,0.069182,0.004567,0
22,0.733,89.601,128.706,177.425,14.532,174.827,14.935,0.996643,-0.044058,0.068855,0.004457,0
23,0.767,90.166,129.386,177.272,14.696,175.042,14.736,0.996149,-0.047702,0.073390,0.005153,0
24,0.800,90.661,129.982,177.656,14.286,174.464,15.270,0.996125,-0.049861,0.072276,0.005010,0
25,0.833,89.867,129.026,177.665,14.276,174.889,14.878,0.995743,-0.052782,0.075361,0.005537,0
26,0.867,90.302,129.550,177.562,14.386,174.775,14.983,0.996189,-0.048631,0.072229,0.005039,0
27,0.900,90.312,129.562,177.570,14.378,174.505,15.232,0.995386,-0.054813,0.078534,0.005864,0
28,0.933,90.501,129.790,177.414,14.544,174.693,15.059,0.996211,-0.047542,0.072665,0.004922,0
29,0.967,89.380,128.441,177.476,14.478,174.736,15.019,0.996566,-0.045537,0.069013,0.004541,0
30,1.000,89.319,128.368,177.269,14.699,175.022,14.755,0.996251,-0.046772,0.072612,0.004964,0
31,1.033,89.409,128.477,176.998,14.988,175.162,14.626,0.996727,-0.041750,0.069082,0.004439,0
32,1.067,89.068,128.066,177.410,14.549,174.938,14.832,0.996410,-0.046604,0.070518,0.004802,0
33,1.100,90.121,129.333,177.613,14.332,174.706,15.047,0.997142,-0.040966,0.063353,0.004015,0
34,1.133,89.034,128.025,177.554,14.394,174.786,14.973,0.996532,-0.046162,0.069072,0.004788,0
35,1.167,89.665,128.784,177.458,14.498,174.662,15.087,0.995121,-0.057217,0.080116,0.006400,0
36,1.200,89.302,128.348,177.966,13.954,174.362,15.364,0.996309,-0.049986,0.069602,0.005036,0
