frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
58,1.933,56.224,88.567,167.031,25.640,157.629,30.792,0.999872,0.000007,0.015991,-0.000003,0
59,1.967,56.252,88.600,167.378,25.269,157.655,30.768,0.999891,0.002407,0.014535,-0.000048,0
60,2.000,56.714,89.155,167.851,24.763,157.710,30.717,0.999896,0.002024,0.014269,-0.000046,0
61,2.033,56.643,89.071,168.075,24.524,157.660,30.764,0.999899,0.002939,0.013938,-0.000065,0
62,2.067,56.689,89.125,168.307,24.276,157.937,30.508,0.999884,0.003546,0.014781,-0.000076,0
63,2.100,56.298,88.655,167.484,25.155,157.831,30.606,0.999856,0.000200,0.016946,-0.000008,0
64,2.133,56.315,88.676,167.391,25.255,157.570,30.846,0.999888,0.001222,0.014942,-0.000029,0
65,2.167,56.321,88.683,166.817,25.868,157.630,30.791,0.999839,0.000195,0.017950,-0.000014,0
66,2.200,55.659,87.887,167.170,25.491,157.558,30.857,0.999915,0.001959,0.012916,-0.000040,0
67,2.233,56.421,88.804,167.781,24.838,157.517,30.895,0.999871,-0.000824,0.016055,0.000013,0
68,2.267,56.100,88.417,167.302,25.350,157.572,30.845,0.999874,0.000498,0.015836,-0.000016,0
69,2.300,55.943,88.228,166.434,26.277,157.559,30.856,0.999883,0.001513,0.015206,-0.000042,0
70,2.333,56.048,88.355,166.911,25.768,157.323,31.074,0.999867,-0.000842,0.016269,0.000013,0
71,2.367,56.062,88.372,167.520,25.117,157.474,30.935,0.999873,0.000385,0.015917,-0.000015,0
72,2.400,56.789,89.246,166.927,25.751,157.409,30.995,0.999882,0.000896,0.015324,-0.000029,0
73,2.433,56.395,88.772,167.716,24.907,157.362,31.038,0.999879,0.000823,0.015509,-0.000022,0
74,2.467,56.850,89.320,166.977,25.697,157.403,31.001,0.999906,0.001920,0.013540,-0.000041,0
75,2.500,56.280,88.633,166.733,25.958,157.297,31.098,0.999911,0.001530,0.013246,-0.000034,0
76,2.533,56.699,89.137,167.146,25.516,157.542,30.873,0.999865,0.000355,0.016440,-0.000016,0
77,2.567,56.799,89.258,167.455,25.186,157.560,30.855,0.999851,-0.000504,0.017242,0.000005,0
78,2.600,56.472,88.864,166.611,26.088,157.637,30.784,0.999869,0.002055,0.016053,-0.000059,0
79,2.633,56.704,89.143,166.894,25.786,157.467,30.941,0.999840,-0.001242,0.017872,0.000019,0
80,2.667,55.914,88.193,166.833,25.851,157.368,31.033,0.999906,0.001609,0.013595,-0.000034,0
81,2.700,56.494,88.891,167.300,25.352,157.387,31.015,0.999918,0.003033,0.012436,-0.000056,0
82,2.733,56.170,88.502,166.932,25.745,157.516,30.896,0.999900,0.002343,0.013947,-0.000046,0
83,2.767,56.238,88.584,166.726,25.966,157.206,31.182,0.999892,0.000065,0.014720,-0.000007,0
84,2.800,55.712,87.951,166.349,26.369,157.002,31.370,0.999884,-0.002217,0.015036,0.000030,0
85,2.833,56.052,88.359,167.320,25.331,157.399,31.004,0.999903,0.001354,0.013865,-0.000024,0
86,2.867,56.696,89.134,167.496,25.143,157.313,31.083,0.999875,0.000025,0.015810,-0.000008,0
87,2.900,56.049,88.356,167.235,25.421,157.447,30.960,0.999925,0.003830,0.011597,-0.000062,0
88,2.933,56.116,88.437,167.665,24.962,157.695,30.731,0.999861,0.000355,0.016688,-0.000010,0
89,2.967,56.069,88.380,167.026,25.645,157.557,30.859,0.999902,0.001140,0.013978,-0.000022,0
90,3.000,56.699,89.137,167.398,25.247,157.832,30.605,0.999794,-0.002052,0.020212,0.000049,0
91,3.033,56.642,89.069,167.845,24.769,157.776,30.657,0.999809,-0.001703,0.019479,0.000036,0
92,3.067,56.349,88.717,167.513,25.124,157.756,30.675,0.999796,-0.000546,0.020184,0.000003,0
93,3.100,56.284,88.639,167.874,24.739,158.011,30.440,0.999843,0.003305,0.017418,-0.000076,0
94,3.133,56.065,88.375,167.014,25.657,157.570,30.846,0.999843,0.000077,0.017736,-0.000008,0
95,3.167,56.039,88.344,167.516,25.121,157.751,30.679,0.999830,-0.000434,0.018428,0.000007,0
96,3.200,56.096,88.413,167.025,25.646,157.560,30.856,0.999861,0.000504,0.016653,-0.000016,0
97,3.233,56.771,89.225,167.547,25.088,157.634,30.788,0.999823,-0.000696,0.018781,0.000008,0
98,3.267,56.241,88.587,166.990,25.683,157.595,30.823,0.999864,-0.001055,0.016450,0.000013,0
99,3.300,56.068,88.378,167.102,25.563,157.435,30.971,0.999874,0.000515,0.015897,-0.000017,0
100,3.333,56.130,88.454,166.714,25.978,157.471,30.937,0.999800,-0.003488,0.019700,0.000069,0
101,3.367,56.252,88.600,167.348,25.301,157.571,30.845,0.999765,-0.003761,0.021369,0.000085,0
102,3.400,56.007,88.306,166.999,25.674,157.769,30.663,0.999827,0.000997,0.018599,-0.000028,0
103,3.433,56.475,88.868,166.681,26.013,157.415,30.989,0.999831,-0.001482,0.018340,0.000024,0
104,3.467,56.626,89.050,166.579,26.123,157.527,30.886,0.999855,0.000275,0.017052,-0.000014,0
105,3.500,56.405,88.784,167.401,25.244,157.443,30.964,0.999837,-0.000411,0.018028,0.000002,0
106,3.533,55.980,88.273,167.867,24.746,157.648,30.775,0.999838,-0.001055,0.017954,0.000023,0
