frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,79.181,116.176,167.594,25.038,164.266,24.673,0.000091,-0.008856,0.003925,0.999953,0
1,0.033,77.864,114.591,167.721,24.903,164.397,24.552,0.000103,-0.009254,0.004295,0.999948,0
2,0.067,78.410,115.249,167.759,24.862,164.144,24.785,0.000096,-0.007986,0.004029,0.999960,0
3,0.100,79.723,116.827,168.977,23.560,164.484,24.471,0.000075,-0.007866,0.003548,0.999963,0
4,0.133,79.238,116.244,167.446,25.196,164.165,24.766,-0.000045,-0.005370,-0.000319,0.999986,0
5,0.167,78.867,115.798,168.065,24.535,164.294,24.647,0.000014,-0.008335,0.001949,0.999963,0
6,0.200,77.274,113.882,167.143,25.520,164.340,24.604,0.000013,-0.006129,0.001614,0.999980,0
7,0.233,76.214,112.608,165.384,27.400,164.777,24.202,0.000046,-0.005954,0.002630,0.999979,0
8,0.267,77.482,114.132,166.250,26.474,164.318,24.625,0.000022,-0.005880,0.001837,0.999981,0
9,0.300,77.753,114.459,167.288,25.365,164.262,24.676,0.000053,-0.008506,0.003119,0.999959,0
10,0.333,77.019,113.575,166.388,26.327,164.477,24.478,-0.000043,-0.005197,-0.000275,0.999986,0
11,0.367,76.908,113.442,166.885,25.795,164.500,24.457,0.000041,-0.008400,0.002918,0.999960,0
12,0.400,76.028,112.384,166.558,26.145,164.605,24.360,-0.000006,-0.007208,0.001399,0.999973,0
13,0.433,77.197,113.789,167.133,25.531,164.035,24.885,0.000163,-0.011482,0.006539,0.999913,0
14,0.467,78.047,114.812,167.645,24.984,164.346,24.599,0.000025,-0.006240,0.002047,0.999978,0
15,0.500,77.620,114.298,167.537,25.099,164.463,24.491,0.000008,-0.007671,0.001851,0.999969,0
16,0.533,77.900,114.635,167.357,25.291,164.026,24.894,0.000068,-0.008208,0.003596,0.999960,0
17,0.567,78.891,115.826,167.519,25.118,163.928,24.984,0.000054,-0.009017,0.003279,0.999954,0
18,0.600,77.454,114.098,167.965,24.642,164.638,24.329,-0.000071,-0.006792,-0.000379,0.999977,0
19,0.633,77.551,114.216,168.105,24.491,164.462,24.492,0.000047,-0.008497,0.003183,0.999959,0
20,0.667,77.674,114.363,167.341,25.308,164.336,24.608,0.000038,-0.009217,0.002939,0.999953,0
21,0.700,77.454,114.098,167.238,25.418,164.251,24.686,-0.000030,-0.007274,0.000693,0.999973,0
22,0.733,77.598,114.272,166.535,26.169,164.336,24.608,-0.000066,-0.006176,-0.000670,0.999981,0
23,0.767,77.340,113.962,166.186,26.543,164.635,24.332,-0.000053,-0.006699,-0.000180,0.999978,0
24,0.800,77.894,114.628,166.823,25.862,163.886,25.022,0.000025,-0.009298,0.002550,0.999954,0
25,0.833,78.135,114.918,166.405,26.308,163.900,25.010,-0.000125,-0.006329,-0.001992,0.999978,0
26,0.867,76.853,113.376,165.323,27.465,163.590,25.296,0.000074,-0.008337,0.003563,0.999959,0
27,0.900,74.169,110.148,165.153,27.646,163.420,25.452,0.000069,-0.007117,0.003293,0.999969,0
28,0.933,71.220,106.601,163.412,29.506,163.008,25.832,0.000065,-0.005402,0.002890,0.999981,0
29,0.967,72.433,108.060,164.096,28.776,163.076,25.770,-0.000069,-0.002429,-0.001208,0.999996,0
30,1.000,72.782,108.479,164.687,28.144,162.495,26.305,0.000052,-0.005451,0.002406,0.999982,0
31,1.033,71.601,107.060,163.855,29.034,162.182,26.594,0.000057,-0.004799,0.002287,0.999986,0
32,1.067,71.047,106.393,163.343,29.580,162.369,26.422,0.000020,-0.004622,0.001469,0.999988,0
33,1.100,71.041,106.386,163.575,29.332,162.349,26.440,0.000102,-0.005718,0.003553,0.999977,0
34,1.133,70.151,105.316,162.945,30.006,162.293,26.492,0.000104,-0.004840,0.003470,0.999982,0
35,1.167,71.451,106.880,163.596,29.310,162.356,26.434,0.000064,-0.005792,0.002673,0.999980,0
36,1.200,70.239,105.422,163.396,29.524,162.156,26.618,0.000106,-0.005798,0.003643,0.999977,0
37,1.233,69.433,104.452,163.045,29.899,162.046,26.720,0.000200,-0.006815,0.005763,0.999960,0
38,1.267,70.589,105.842,163.427,29.491,161.936,26.821,0.000183,-0.005599,0.005359,0.999970,0
39,1.300,70.823,106.123,163.797,29.096,162.033,26.731,0.000100,-0.003621,0.003208,0.999988,0
40,1.333,70.596,105.851,163.917,28.967,161.987,26.774,0.000214,-0.006239,0.006038,0.999962,0
41,1.367,69.587,104.638,162.857,30.100,161.777,26.967,0.000229,-0.005313,0.006232,0.999966,0
42,1.400,69.988,105.120,163.305,29.620,161.488,27.234,0.000219,-0.005573,0.006066,0.999966,0
43,1.433,70.192,105.365,163.241,29.690,161.706,27.033,0.000131,-0.004684,0.004071,0.999981,0
44,1.467,69.989,105.121,163.006,29.940,161.540,27.186,0.000252,-0.005992,0.006698,0.999960,0
45,1.500,70.491,105.725,163.159,29.777,161.641,27.093,0.000031,-0.002710,0.001346,0.999995,0
46,1.533,70.413,105.631,163.376,29.545,161.361,27.351,0.000174,-0.006807,0.005214,0.999963,0
47,1.567,71.342,106.748,163.819,29.072,160.959,27.722,0.000193,-0.006727,0.005468,0.999962,0
48,1.600,70.378,105.589,163.268,29.660,160.898,27.778,0.000316,-0.006936,0.008143,0.999943,0
49,1.633,70.222,105.402,162.818,30.142,160.542,28.106,0.000346,-0.006579,0.008760,0.999940,0
50,1.667,70.649,105.915,163.503,29.410,160.645,28.012,0.000327,-0.006530,0.008276,0.999944,0
51,1.700,69.818,104.916,162.356,30.635,160.530,28.117,0.000312,-0.005666,0.007639,0.999955,0
52,1.733,70.814,106.112,162.768,30.195,160.159,28.459,0.000322,-0.005957,0.008162,0.999949,0
53,1.767,70.732,106.015,163.693,29.207,160.515,28.131,0.000184,-0.004420,0.004922,0.999978,0
54,1.800,70.474,105.705,162.974,29.975,160.498,28.146,0.000122,-0.003966,0.003494,0.999986,0
55,1.833,70.728,106.010,162.635,30.337,160.272,28.355,0.000184,-0.004681,0.004872,0.999977,0
56,1.867,70.106,105.262,162.653,30.318,160.170,28.449,0.000205,-0.005825,0.005450,0.999968,0
57,1.900,71.025,106.366,163.610,29.295,160.351,28.282,0.000072,-0.002551,0.002194,0.999994,0
58,1.933,69.973,105.101,163.501,29.412,160.693,27.967,0.000119,-0.004543,0.003627,0.999983,0
59,1.967,70.650,105.916,163.303,29.623,160.617,28.037,0.000039,-0.004371,0.001878,0.999989,0
60,2.000,69.337,104.337,162.592,30.383,160.726,27.937,0.000134,-0.004526,0.004023,0.999982,0
61,2.033,69.819,104.916,163.726,29.171,160.339,28.293,0.000249,-0.006439,0.006664,0.999957,0
