frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,38.280,66.987,124.142,71.469,124.487,61.350,0.008425,-0.013374,0.077841,0.996840,0
1,0.033,38.353,67.074,123.750,71.889,124.649,61.201,0.008458,-0.014029,0.077246,0.996878,0
2,0.067,37.407,65.936,123.769,71.868,125.187,60.704,0.008643,-0.014447,0.077829,0.996825,0
3,0.100,36.630,65.002,124.075,71.541,125.889,60.057,0.009240,-0.018468,0.080469,0.996543,0
4,0.133,36.338,64.651,123.300,72.370,124.617,61.230,0.009366,-0.017294,0.084471,0.996232,0
5,0.167,36.331,64.642,123.205,72.472,124.763,61.096,0.009332,-0.017895,0.081476,0.996471,0
6,0.200,37.326,65.839,123.296,72.374,124.662,61.189,0.008638,-0.015264,0.077990,0.996800,0
7,0.233,37.883,66.509,123.302,72.368,124.255,61.564,0.008017,-0.013768,0.071865,0.997287,0
8,0.267,36.332,64.644,122.968,72.724,124.801,61.060,0.008583,-0.016877,0.075179,0.996990,0
9,0.300,37.935,66.571,124.251,71.353,124.962,60.912,0.009124,-0.019266,0.078693,0.996671,0
10,0.333,36.484,64.826,123.714,71.927,126.126,59.839,0.007858,-0.013843,0.071773,0.997294,0
11,0.367,36.637,65.011,123.632,72.015,125.108,60.777,0.008936,-0.017959,0.079006,0.996672,0
12,0.400,35.946,64.179,121.309,74.497,123.780,62.002,0.007709,-0.012109,0.072105,0.997294,0
13,0.433,37.185,65.669,123.481,72.176,125.602,60.322,0.008011,-0.015015,0.071163,0.997320,0
14,0.467,36.886,65.309,122.170,73.578,124.650,61.199,0.007689,-0.012861,0.068951,0.997508,0
15,0.500,38.040,66.698,122.807,72.897,124.607,61.239,0.007274,-0.010650,0.067092,0.997663,0
16,0.533,35.022,63.067,122.050,73.705,124.432,61.401,0.008690,-0.015991,0.078239,0.996769,0
17,0.567,35.134,63.202,122.104,73.647,126.392,59.593,0.007266,-0.009322,0.067444,0.997653,0
18,0.600,35.347,63.459,121.640,74.143,125.286,60.613,0.007826,-0.013669,0.070203,0.997408,0
19,0.633,35.467,63.603,120.786,75.056,123.287,62.456,0.008382,-0.015841,0.074432,0.997065,0
20,0.667,36.387,64.710,122.655,73.058,125.728,60.206,0.007378,-0.010057,0.067306,0.997654,0
21,0.700,36.015,64.262,121.919,73.846,124.332,61.493,0.008676,-0.017404,0.073847,0.997080,0
22,0.733,36.966,65.406,122.586,73.133,125.061,60.821,0.007470,-0.012370,0.065794,0.997729,0
23,0.767,35.329,63.437,122.185,73.562,126.252,59.723,0.007035,-0.009718,0.065672,0.997769,0
24,0.800,37.526,66.080,123.325,72.343,126.468,59.524,0.006667,-0.007955,0.061578,0.998048,0
25,0.833,34.130,61.995,121.525,74.267,126.228,59.745,0.006977,-0.009277,0.067014,0.997685,0
26,0.867,35.060,63.114,122.556,73.165,126.783,59.233,0.007262,-0.011109,0.068463,0.997565,0
27,0.900,34.356,62.267,121.378,74.423,126.190,59.779,0.006918,-0.008259,0.066754,0.997711,0
28,0.933,33.551,61.298,122.025,73.732,127.045,58.991,0.007347,-0.012377,0.069350,0.997489,0
29,0.967,35.252,63.345,122.093,73.660,126.552,59.445,0.006803,-0.008457,0.064975,0.997828,0
30,1.000,35.815,64.022,122.216,73.528,126.496,59.498,0.006490,-0.008714,0.060111,0.998133,0
31,1.033,37.291,65.797,123.680,71.963,126.925,59.102,0.006962,-0.009773,0.064722,0.997831,0
32,1.067,34.027,61.872,122.471,73.256,127.261,58.792,0.007415,-0.012976,0.069118,0.997497,0
33,1.100,33.721,61.503,122.529,73.194,127.799,58.296,0.007852,-0.014997,0.072409,0.997231,0
34,1.133,32.826,60.427,121.277,74.531,126.002,59.953,0.007123,-0.011080,0.072568,0.997277,0
35,1.167,32.183,59.653,121.393,74.408,126.715,59.296,0.007486,-0.011507,0.074650,0.997115,0
36,1.200,33.246,60.932,121.599,74.187,126.582,59.418,0.007193,-0.011798,0.073015,0.997235,0
37,1.233,32.023,59.461,121.802,73.970,127.413,58.652,0.007459,-0.013332,0.076855,0.996925,0
38,1.267,32.078,59.527,122.030,73.727,128.349,57.789,0.006173,-0.006921,0.066074,0.997772,0
39,1.300,32.163,59.630,121.158,74.659,127.251,58.802,0.005773,-0.002107,0.065228,0.997851,0
40,1.333,32.082,59.532,122.826,72.876,128.767,57.403,0.006749,-0.009663,0.070909,0.997413,0
41,1.367,33.219,60.900,122.768,72.938,127.364,58.697,0.006836,-0.010308,0.071464,0.997367,0
42,1.400,33.763,61.554,122.741,72.967,126.727,59.284,0.007136,-0.011719,0.074187,0.997150,0
43,1.433,31.496,58.828,122.634,73.081,127.105,58.936,0.008180,-0.019114,0.080033,0.996575,0
44,1.467,31.101,58.352,122.406,73.325,127.985,58.124,0.007460,-0.015888,0.076094,0.996946,0
45,1.500,31.761,59.146,122.770,72.937,127.369,58.693,0.007469,-0.016339,0.076648,0.996896,0
46,1.533,32.735,60.318,123.370,72.295,127.239,58.812,0.008745,-0.023710,0.083812,0.996161,0
47,1.567,32.394,59.907,124.335,71.263,127.323,58.735,0.009370,-0.025432,0.091620,0.995425,0
48,1.600,31.011,58.244,123.551,72.101,128.326,57.810,0.008861,-0.021819,0.084119,0.996177,0
49,1.633,31.952,59.376,123.681,71.962,128.442,57.703,0.008687,-0.022219,0.082931,0.996270,0
50,1.667,31.191,58.460,122.518,73.205,126.836,59.184,0.008960,-0.024175,0.087053,0.995870,0
51,1.700,31.657,59.022,122.862,72.837,127.465,58.604,0.009338,-0.026214,0.087789,0.995750,0
52,1.733,31.672,59.040,123.222,72.453,127.947,58.160,0.009151,-0.026052,0.086974,0.995828,0
53,1.767,30.584,57.731,123.127,72.555,127.585,58.494,0.010224,-0.028597,0.092037,0.995292,0
54,1.800,30.204,57.273,122.897,72.801,128.025,58.088,0.009707,-0.027508,0.087828,0.995708,0
55,1.833,30.043,57.080,122.724,72.986,128.019,58.093,0.009823,-0.028791,0.086042,0.995827,0
56,1.867,30.655,57.817,122.409,73.322,127.423,58.642,0.009295,-0.025560,0.083734,0.996117,0
57,1.900,30.185,57.251,121.930,73.833,127.564,58.513,0.008429,-0.021555,0.081369,0.996415,0
58,1.933,32.645,60.210,123.227,72.448,127.922,58.183,0.008182,-0.021644,0.077275,0.996741,0
59,1.967,32.686,60.258,123.876,71.754,128.344,57.794,0.008594,-0.024117,0.079208,0.996529,0
60,2.000,30.878,58.084,121.509,74.283,126.391,59.594,0.009181,-0.025984,0.084142,0.996073,0
61,2.033,30.550,57.690,122.377,73.356,127.788,58.307,0.009125,-0.029274,0.078396,0.996451,0
62,2.067,31.945,59.367,123.299,72.371,127.405,58.659,0.010010,-0.031381,0.085123,0.995826,0
63,2.100,31.160,58.423,123.417,72.244,128.563,57.592,0.009544,-0.029975,0.083561,0.996006,0
