frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,53.312,85.065,107.814,88.917,104.104,80.143,0.066330,-0.083499,0.197748,0.974435,0
1,0.033,55.745,87.991,106.897,89.898,102.502,81.621,0.068805,-0.087838,0.201811,0.973048,0
2,0.067,65.081,99.218,160.433,32.690,154.203,33.951,-0.347272,0.516608,0.735725,0.266884,0
3,0.100,59.326,92.297,105.587,91.297,102.909,81.245,0.060960,-0.075243,0.180720,0.978756,0
4,0.133,58.411,91.196,156.080,37.341,153.046,35.018,-0.355360,0.507941,0.726847,0.295651,0
5,0.167,54.417,86.393,154.944,38.556,151.264,36.661,-0.366493,0.503882,0.715560,0.315847,0
6,0.200,55.841,88.106,156.408,36.991,151.877,36.096,-0.361832,0.498747,0.722087,0.314515,0
7,0.233,50.915,82.182,153.466,40.134,147.195,40.412,-0.373928,0.497530,0.709740,0.330018,0
8,0.267,49.467,80.440,153.197,40.422,147.097,40.503,-0.377381,0.498158,0.702595,0.340269,0
9,0.300,45.484,75.650,151.358,42.387,145.494,41.981,-0.388631,0.499954,0.690332,0.349933,0
10,0.333,43.074,72.752,150.909,42.867,144.227,43.149,-0.393775,0.502045,0.674978,0.370535,0
11,0.367,36.153,64.428,147.281,46.744,139.198,47.786,-0.402664,0.497103,0.662739,0.389266,0
12,0.400,29.994,57.022,144.522,49.693,132.565,53.901,-0.403510,0.487452,0.662246,0.401248,0
13,0.433,25.964,52.174,144.433,49.787,133.568,52.977,-0.412259,0.493660,0.645566,0.411810,0
14,0.467,38.726,67.523,152.507,41.159,145.071,42.371,-0.410190,0.502634,0.652659,0.391330,0
15,0.500,52.029,83.522,160.321,32.810,147.954,39.713,-0.389995,0.487878,0.705872,0.334101,0
16,0.533,56.002,88.300,164.646,28.188,153.753,34.366,-0.384609,0.487315,0.723863,0.301037,0
17,0.567,53.559,85.361,165.644,27.121,156.531,31.805,-0.383178,0.494911,0.728377,0.278757,0
18,0.600,53.396,85.165,166.199,26.529,157.472,30.937,-0.382149,0.499526,0.726074,0.277945,0
19,0.633,114.823,150.000,162.222,30.778,138.190,48.715,0.030243,-0.070850,0.109474,0.991000,0
20,0.667,114.314,150.000,164.603,28.234,147.339,40.280,0.024211,-0.058490,0.085443,0.994330,0
21,0.700,89.839,128.993,166.877,25.804,153.782,34.339,0.383485,-0.488738,0.326535,0.712355,0
22,0.733,89.921,129.092,167.135,25.528,153.574,34.531,0.375375,-0.472400,0.324047,0.728646,0
23,0.767,107.160,149.824,167.571,25.063,159.351,29.204,0.018738,-0.073982,0.077617,0.994058,0
24,0.800,92.607,132.322,166.561,26.142,160.841,27.830,0.016845,-0.070993,0.075002,0.994510,0
25,0.833,57.913,90.598,171.752,20.595,158.795,29.717,0.351369,-0.461459,0.317379,0.750243,0
26,0.867,52.747,84.384,171.763,20.583,159.903,28.696,0.354999,-0.465998,0.323553,0.743058,0
27,0.900,53.762,85.606,172.724,19.556,158.931,29.591,0.349321,-0.462765,0.322350,0.748274,0
28,0.933,50.812,82.057,172.357,19.948,159.541,29.029,0.354549,-0.467461,0.332047,0.738593,0
29,0.967,75.618,111.890,167.942,24.666,164.168,24.763,0.004835,-0.034745,0.038150,0.998656,0
30,1.000,46.302,76.634,174.341,17.828,160.987,27.696,0.344470,-0.468986,0.347681,0.735194,0
31,1.033,46.005,76.277,175.317,16.785,161.675,27.062,0.330200,-0.460859,0.345801,0.747662,0
32,1.067,45.978,76.244,175.858,16.207,161.135,27.559,0.321955,-0.458841,0.341130,0.754613,0
33,1.100,47.961,78.629,176.537,15.482,161.477,27.244,0.308233,-0.445839,0.334739,0.770824,0
34,1.133,48.705,79.524,176.751,15.253,162.557,26.248,0.304224,-0.445974,0.326861,0.775704,0
35,1.167,50.934,82.204,177.407,14.552,162.379,26.412,0.291833,-0.431955,0.316867,0.792366,0
36,1.200,52.088,83.593,176.952,15.039,163.351,25.516,0.274094,-0.412586,0.303601,0.813923,0
37,1.233,60.029,93.143,175.485,16.605,162.725,26.093,0.264295,-0.402663,0.297666,0.824261,0
38,1.267,44.665,74.665,171.274,21.105,167.029,22.125,0.996284,0.049428,-0.070425,0.003803,0
39,1.300,57.878,90.556,176.041,16.011,162.850,25.978,0.265482,-0.402369,0.297440,0.824104,0
40,1.333,39.159,68.043,171.451,20.917,167.557,21.638,0.997722,0.037690,-0.055884,0.002874,0
41,1.367,39.672,68.660,171.672,20.680,167.516,21.676,0.997999,0.035916,-0.051967,0.002793,0
42,1.400,38.849,67.670,171.789,20.555,167.123,22.038,0.997974,0.035000,-0.053045,0.002899,0
43,1.433,36.363,64.680,171.552,20.808,167.483,21.706,0.998601,0.029778,-0.043647,0.002182,0
44,1.467,39.556,68.521,170.591,21.835,166.557,22.560,0.998418,0.030550,-0.047145,0.002396,0
45,1.500,71.218,106.599,174.261,17.914,170.134,19.262,0.196321,-0.330254,0.253162,0.887862,0
46,1.533,72.001,107.541,175.646,16.434,169.937,19.444,0.181023,-0.314164,0.238878,0.900816,0
47,1.567,82.901,120.650,176.277,15.760,169.292,20.038,0.158471,-0.290782,0.219166,0.917769,0
48,1.600,39.445,68.387,170.138,22.320,166.164,22.923,0.998932,0.024583,-0.039070,0.001861,0
49,1.633,39.075,67.943,170.365,22.077,166.044,23.033,0.999088,0.021215,-0.037017,0.001638,0
50,1.667,38.446,67.186,170.427,22.011,165.713,23.338,0.999077,0.021989,-0.036858,0.001694,0
51,1.700,39.845,68.868,170.555,21.874,165.832,23.228,0.999106,0.021720,-0.036231,0.001628,0
52,1.733,39.134,68.013,170.234,22.217,165.245,23.770,0.998982,0.023609,-0.038395,0.001834,0
53,1.767,40.909,70.148,169.624,22.868,165.143,23.864,0.998796,0.027014,-0.040886,0.002197,0
54,1.800,38.902,67.734,170.055,22.409,165.196,23.815,0.998907,0.024492,-0.039750,0.001969,0
55,1.833,38.118,66.791,169.822,22.657,165.000,23.996,0.998824,0.026265,-0.040709,0.002110,0
56,1.867,39.637,68.618,169.947,22.523,164.998,23.997,0.998714,0.027523,-0.042505,0.002270,0
57,1.900,39.218,68.114,168.683,23.874,164.854,24.131,0.998619,0.028786,-0.043885,0.002358,0
58,1.933,40.498,69.653,169.078,23.452,164.666,24.304,0.998729,0.027454,-0.042220,0.002217,0
59,1.967,39.047,67.908,169.538,22.961,164.435,24.516,0.998602,0.027182,-0.045282,0.002270,0
60,2.000,39.304,68.218,170.162,22.294,164.626,24.340,0.998760,0.027732,-0.041290,0.002231,0
61,2.033,39.746,68.749,169.368,23.142,164.632,24.335,0.998804,0.027810,-0.040153,0.002179,0
62,2.067,39.662,68.649,170.284,22.163,164.613,24.352,0.998556,0.029300,-0.044967,0.002418,0
63,2.100,38.305,67.016,170.188,22.266,164.487,24.468,0.998622,0.027701,-0.044511,0.002275,0
64,2.133,38.233,66.930,170.008,22.458,164.644,24.324,0.998511,0.030049,-0.045458,0.002423,0
65,2.167,39.694,68.686,170.508,21.924,164.843,24.141,0.998193,0.036466,-0.047670,0.002869,0
66,2.200,37.873,66.497,170.659,21.762,164.616,24.350,0.997949,0.037525,-0.051771,0.003116,0
67,2.233,39.364,68.290,170.587,21.840,164.647,24.321,0.997928,0.038990,-0.051094,0.003041,0
68,2.267,38.735,67.533,170.905,21.500,165.088,23.914,0.998117,0.038297,-0.047824,0.002780,0
69,2.300,38.793,67.604,170.919,21.484,164.946,24.045,0.997395,0.045621,-0.055758,0.003553,0
70,2.333,38.779,67.586,171.510,20.853,165.447,23.584,0.996951,0.050649,-0.059230,0.003884,0
71,2.367,44.019,73.888,170.859,21.548,165.546,23.493,0.996673,0.051013,-0.063444,0.003938,0
72,2.400,46.812,77.247,170.292,22.155,165.320,23.700,0.996248,0.055737,-0.066071,0.004177,0
73,2.433,56.534,88.940,168.800,23.749,164.643,24.325,0.995358,0.062889,-0.072682,0.004890,0
74,2.467,60.359,93.539,168.093,24.504,163.846,25.060,0.994793,0.066453,-0.077116,0.004926,0
75,2.500,58.700,91.544,165.871,26.879,163.300,25.563,0.994320,0.068435,-0.081361,0.005020,0
76,2.533,57.864,90.539,166.124,26.609,162.633,26.178,0.004375,-0.050267,0.064875,0.996617,0
77,2.567,82.113,119.701,161.317,31.745,158.183,30.282,0.003593,-0.029672,0.052119,0.998194,0
78,2.600,72.138,107.706,153.714,39.869,155.268,32.969,0.005918,-0.038525,0.069571,0.996815,0
79,2.633,85.420,123.679,156.127,37.292,154.555,33.627,0.007460,-0.046807,0.073539,0.996165,0
80,2.667,106.375,148.880,160.752,32.349,155.674,32.595,0.007608,-0.047465,0.065170,0.996716,0
81,2.700,108.266,150.000,161.439,31.615,154.362,33.804,0.009047,-0.048813,0.073692,0.996045,0
82,2.733,105.167,147.428,160.029,33.122,149.721,38.083,0.007992,-0.036171,0.064851,0.997207,0
83,2.767,101.253,142.721,157.104,36.247,148.704,39.021,0.008655,-0.037086,0.062780,0.997301,0
84,2.800,100.166,141.413,155.475,37.988,147.841,39.817,0.007705,-0.031636,0.053456,0.998039,0
85,2.833,100.417,141.715,155.842,37.596,144.898,42.531,0.011196,-0.040477,0.070177,0.996650,0
86,2.867,97.149,137.785,152.555,41.109,142.652,44.601,0.011245,-0.034100,0.069048,0.996967,0
87,2.900,91.363,130.826,150.532,43.270,139.600,47.415,0.012702,-0.035718,0.073871,0.996547,0
88,2.933,89.401,128.466,150.148,43.681,137.902,48.981,0.014969,-0.042851,0.080496,0.995721,0
89,2.967,83.692,121.601,147.030,47.012,136.433,50.335,0.016353,-0.044097,0.083641,0.995385,0
90,3.000,81.670,119.168,148.726,45.199,135.358,51.326,0.019105,-0.048370,0.093603,0.994250,0
91,3.033,80.733,118.042,147.804,46.185,135.433,51.257,0.017613,-0.041500,0.084664,0.995389,0
92,3.067,78.800,115.718,147.180,46.852,134.421,52.190,0.017704,-0.040558,0.084415,0.995448,0
93,3.100,78.469,115.319,147.252,46.775,134.099,52.488,0.017062,-0.038507,0.078370,0.996034,0
94,3.133,77.099,113.671,146.805,47.252,133.611,52.937,0.017788,-0.038182,0.081396,0.995791,0
95,3.167,75.094,111.261,145.943,48.174,131.756,54.647,0.020364,-0.042594,0.089314,0.994884,0
96,3.200,74.604,110.671,146.174,47.927,132.654,53.820,0.019993,-0.039087,0.087694,0.995180,0
97,3.233,76.753,113.255,147.363,46.656,133.316,53.209,0.020591,-0.042748,0.088923,0.994908,0
98,3.267,77.079,113.647,147.759,46.233,133.980,52.597,0.020407,-0.039844,0.088003,0.995114,0
99,3.300,76.510,112.963,147.090,46.948,134.108,52.479,0.020543,-0.041513,0.087542,0.995083,0
