frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,39.996,49.738,134.976,96.020,138.207,71.327,0.000461,0.040869,-0.001245,0.999164,0
1,0.033,41.342,51.160,135.846,94.955,137.888,71.629,0.000466,0.042776,-0.001101,0.999084,0
2,0.067,41.624,51.458,135.199,95.747,137.621,71.883,0.000253,0.044965,-0.003262,0.998983,0
3,0.100,41.862,51.710,136.234,94.480,138.007,71.517,0.000397,0.041769,-0.001625,0.999126,0
4,0.133,41.302,51.118,135.516,95.360,138.294,71.244,0.000080,0.045537,-0.005946,0.998945,0
5,0.167,42.343,52.217,135.839,94.963,138.335,71.206,0.000265,0.041722,-0.002974,0.999125,0
6,0.200,42.270,52.141,136.761,93.835,137.701,71.807,0.000676,0.038483,0.002124,0.999257,0
7,0.233,41.451,51.276,136.482,94.177,138.173,71.359,0.000457,0.039753,-0.001132,0.999209,0
8,0.267,42.440,52.321,136.680,93.934,137.943,71.577,0.000677,0.036448,0.002180,0.999333,0
9,0.300,41.320,51.137,135.964,94.811,137.927,71.593,0.000683,0.038463,0.002134,0.999257,0
10,0.333,41.740,51.581,136.510,94.143,138.030,71.495,0.000490,0.038826,-0.000303,0.999246,0
11,0.367,40.849,50.640,136.008,94.756,138.676,70.882,0.000522,0.039823,-0.000438,0.999207,0
12,0.400,43.272,53.199,136.936,93.621,138.503,71.046,0.000306,0.040933,-0.002470,0.999159,0
13,0.433,43.901,53.864,136.792,93.797,137.554,71.946,0.000737,0.038189,0.004388,0.999261,0
14,0.467,42.020,51.876,135.681,95.157,138.597,70.957,0.000442,0.040273,-0.000104,0.999189,0
15,0.500,42.663,52.556,136.114,94.627,137.870,71.646,0.000771,0.036568,0.004381,0.999321,0
16,0.533,40.087,49.834,134.654,96.414,138.459,71.088,0.000523,0.041030,0.000609,0.999158,0
17,0.567,41.414,51.236,135.205,95.740,138.336,71.205,0.000630,0.039237,0.002233,0.999227,0
18,0.600,41.108,50.913,134.939,96.066,138.191,71.342,0.000632,0.041389,0.002352,0.999140,0
19,0.633,43.551,53.494,135.367,95.542,137.196,72.287,0.000951,0.037128,0.007604,0.999281,0
20,0.667,40.616,50.393,134.030,97.179,137.905,71.614,0.000730,0.039015,0.004012,0.999230,0
21,0.700,43.006,52.918,136.317,94.378,138.778,70.785,0.000634,0.037720,0.002192,0.999286,0
22,0.733,43.038,52.952,136.788,93.802,139.287,70.302,0.000506,0.040805,0.000043,0.999167,0
23,0.767,41.251,51.064,134.878,96.141,137.803,71.710,0.000822,0.040001,0.004427,0.999189,0
24,0.800,38.963,48.647,135.133,95.828,138.057,71.469,0.000875,0.037990,0.004684,0.999267,0
25,0.833,40.411,50.177,135.778,95.039,138.414,71.131,0.000760,0.038627,0.003533,0.999247,0
26,0.867,40.484,50.254,135.440,95.453,138.020,71.504,0.000745,0.039396,0.003411,0.999218,0
27,0.900,41.863,51.711,136.646,93.976,139.566,70.038,0.000371,0.041737,-0.002031,0.999126,0
28,0.933,42.112,51.973,135.801,95.010,138.787,70.776,0.000630,0.039757,0.002451,0.999206,0
29,0.967,40.773,50.559,136.770,93.823,139.378,70.216,0.000966,0.034983,0.005703,0.999371,0
30,1.000,39.995,49.737,135.895,94.896,139.507,70.093,0.000540,0.041723,0.000258,0.999129,0
31,1.033,39.988,49.729,136.773,93.820,139.580,70.024,0.000941,0.039510,0.005155,0.999205,0
32,1.067,40.414,50.180,137.554,92.863,139.430,70.167,0.001160,0.035402,0.008368,0.999337,0
33,1.100,39.372,49.078,138.964,91.138,139.878,69.742,0.001547,0.030448,0.012395,0.999458,0
34,1.133,40.595,50.371,139.480,90.506,139.723,69.889,0.001763,0.028420,0.015169,0.999479,0
35,1.167,41.831,51.677,140.629,89.098,139.626,69.981,0.001532,0.028724,0.012904,0.999503,0
36,1.200,40.531,50.303,140.676,89.041,139.708,69.903,0.001705,0.025849,0.014839,0.999554,0
37,1.233,39.585,49.304,139.428,90.569,140.013,69.614,0.001349,0.030297,0.011241,0.999477,0
38,1.267,38.281,47.926,140.151,89.683,140.391,69.255,0.001646,0.027958,0.013629,0.999515,0
39,1.300,39.850,49.584,140.752,88.947,140.825,68.843,0.001026,0.032944,0.006829,0.999433,0
40,1.333,38.959,48.643,138.658,91.511,140.322,69.320,0.000946,0.033798,0.006074,0.999410,0
