frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,51.253,83.122,155.231,42.688,177.733,22.408,0.998790,0.022270,-0.043830,0.000877,0
1,0.033,49.482,81.010,153.855,44.124,178.051,22.020,0.998827,0.019791,-0.044188,0.000773,0
2,0.067,49.724,81.299,154.268,43.693,177.459,22.742,0.999022,0.016284,-0.041105,0.000567,0
3,0.100,47.497,78.642,153.048,44.967,177.611,22.557,0.000848,-0.010090,0.027945,0.999558,0
4,0.133,48.099,79.359,152.941,45.079,177.285,22.955,0.000742,-0.007002,0.023321,0.999703,0
5,0.167,49.156,80.620,151.735,46.338,176.913,23.408,0.000458,0.000701,0.015801,0.999875,0
6,0.200,49.313,80.808,150.531,47.595,175.653,24.944,0.000556,-0.000424,0.019253,0.999814,0
7,0.233,50.449,82.163,150.539,47.587,174.655,26.161,0.000833,-0.001579,0.022905,0.999736,0
8,0.267,53.399,85.684,151.549,46.532,174.178,26.742,0.000971,-0.004420,0.026092,0.999649,0
9,0.300,51.598,83.534,150.465,47.664,173.642,27.396,0.998299,0.018654,-0.055230,0.000719,0
10,0.333,54.489,86.984,151.511,46.572,173.988,26.974,0.000764,0.000198,0.023917,0.999714,0
11,0.367,57.055,90.045,152.187,45.866,174.117,26.817,0.001059,-0.005912,0.030075,0.999530,0
12,0.400,56.393,89.255,152.005,46.056,173.406,27.683,0.997642,0.027000,-0.063083,0.001298,0
13,0.433,55.417,88.091,150.726,47.391,172.434,28.868,0.997127,0.031019,-0.069085,0.001829,0
14,0.467,54.940,87.522,149.566,48.602,172.407,28.902,0.997053,0.031727,-0.069825,0.001876,0
15,0.500,55.902,88.670,149.946,48.206,172.001,29.396,0.997311,0.029269,-0.067168,0.001689,0
16,0.533,54.485,86.979,148.507,49.708,171.924,29.491,0.997081,0.028703,-0.070723,0.001833,0
17,0.567,57.149,90.158,149.454,48.720,172.321,29.006,0.997040,0.030126,-0.070708,0.001899,0
18,0.600,55.755,88.495,149.652,48.512,172.655,28.599,0.997032,0.028166,-0.071631,0.001794,0
19,0.633,54.804,87.360,148.577,49.635,171.676,29.793,0.997085,0.025892,-0.071743,0.001808,0
20,0.667,53.533,85.843,148.094,50.140,171.616,29.866,0.997263,0.025076,-0.069532,0.001666,0
21,0.700,54.970,87.557,148.865,49.335,171.467,30.047,0.997118,0.025611,-0.071392,0.001824,0
22,0.733,56.921,89.886,148.504,49.711,171.990,29.409,0.997402,0.027530,-0.066547,0.001579,0
23,0.767,57.924,91.083,149.842,48.314,172.341,28.981,0.997521,0.026660,-0.065103,0.001458,0
24,0.800,56.836,89.784,149.611,48.555,172.082,29.298,0.997549,0.024934,-0.065367,0.001360,0
25,0.833,58.715,92.027,149.378,48.798,172.251,29.091,0.997465,0.028991,-0.064977,0.001342,0
26,0.867,57.981,91.151,149.289,48.892,171.861,29.567,0.997349,0.027103,-0.067509,0.001399,0
27,0.900,58.946,92.302,149.321,48.859,171.681,29.786,0.997187,0.029353,-0.068947,0.001482,0
28,0.933,57.719,90.838,149.807,48.351,171.624,29.855,0.001147,-0.003382,0.032154,0.999477,0
29,0.967,57.027,90.012,150.154,47.989,171.607,29.877,0.997565,0.027578,-0.064051,0.001149,0
30,1.000,57.612,90.711,150.037,48.111,171.471,30.042,0.001220,-0.003816,0.033218,0.999440,0
31,1.033,56.509,89.394,149.553,48.617,171.455,30.062,0.997512,0.028047,-0.064666,0.001179,0
32,1.067,56.259,89.096,148.589,49.623,171.422,30.102,0.997538,0.027223,-0.064616,0.001092,0
33,1.100,55.724,88.458,149.927,48.226,171.335,30.208,0.997135,0.030042,-0.069401,0.001442,0
34,1.133,54.351,86.819,148.112,50.121,171.898,29.522,0.996508,0.032978,-0.076685,0.001804,0
35,1.167,58.356,91.598,149.930,48.222,172.445,28.855,0.001707,-0.009818,0.039831,0.999157,0
36,1.200,61.517,95.369,151.790,46.281,171.974,29.429,0.997132,0.031661,-0.068722,0.001532,0
37,1.233,63.988,98.318,151.220,46.876,170.868,30.778,0.997133,0.032342,-0.068392,0.001504,0
38,1.267,63.758,98.043,151.611,46.467,171.115,30.477,0.997094,0.032621,-0.068822,0.001542,0
39,1.300,61.889,95.814,150.966,47.141,171.306,30.243,0.001487,-0.009460,0.037077,0.999267,0
40,1.333,62.215,96.203,152.005,46.056,171.667,29.803,0.997351,0.029651,-0.066409,0.001398,0
41,1.367,61.192,94.981,151.452,46.633,171.716,29.744,0.997534,0.028089,-0.064301,0.001250,0
42,1.400,62.675,96.751,151.456,46.629,171.826,29.609,0.001239,-0.005841,0.033696,0.999414,0
43,1.433,62.980,97.115,152.364,45.681,171.601,29.884,0.997474,0.029018,-0.064822,0.001289,0
44,1.467,63.294,97.490,151.903,46.163,171.521,29.982,0.001347,-0.009084,0.035448,0.999329,0
45,1.500,63.287,97.482,152.051,46.008,171.650,29.824,0.001237,-0.007640,0.033587,0.999406,0
46,1.533,62.963,97.095,152.142,45.913,171.316,30.232,0.997479,0.027981,-0.065191,0.001374,0
47,1.567,62.962,97.094,151.709,46.365,171.786,29.658,0.997517,0.028880,-0.064224,0.001295,0
48,1.600,62.795,96.894,151.258,46.836,171.721,29.738,0.997447,0.030294,-0.064656,0.001325,0
49,1.633,62.888,97.005,151.831,46.238,171.581,29.909,0.997743,0.027003,-0.061475,0.001178,0
50,1.667,62.650,96.722,152.086,45.971,171.489,30.020,0.997443,0.029255,-0.065188,0.001402,0
51,1.700,61.259,95.062,151.006,47.099,171.834,29.600,0.001165,-0.006673,0.032881,0.999436,0
52,1.733,62.295,96.298,151.299,46.793,171.408,30.119,0.997670,0.027912,-0.062240,0.001257,0
53,1.767,63.175,97.348,150.854,47.258,171.580,29.909,0.997511,0.030129,-0.063742,0.001320,0
54,1.800,61.049,94.811,150.224,47.916,171.278,30.278,0.997520,0.027349,-0.064842,0.001275,0
55,1.833,62.270,96.268,150.626,47.496,171.818,29.620,0.997802,0.026338,-0.060803,0.001062,0
56,1.867,60.144,93.731,150.064,48.082,171.634,29.844,0.997556,0.027782,-0.064105,0.001256,0
57,1.900,60.156,93.745,150.005,48.144,171.557,29.937,0.997677,0.025998,-0.062952,0.001152,0
58,1.933,60.444,94.089,150.151,47.991,171.772,29.676,0.997545,0.028725,-0.063850,0.001251,0
59,1.967,59.817,93.341,150.123,48.021,171.733,29.723,0.997423,0.029020,-0.065604,0.001340,0
60,2.000,62.435,96.465,151.096,47.006,172.041,29.348,0.001475,-0.009845,0.036740,0.999275,0
61,2.033,61.422,95.256,147.328,50.940,169.980,31.861,0.997008,0.038154,-0.067206,0.001758,0
62,2.067,61.426,95.262,150.960,47.147,172.579,28.692,0.001120,-0.007503,0.029872,0.999525,0
63,2.100,57.969,91.136,151.654,46.423,171.648,29.827,0.998274,0.018928,-0.055582,0.000845,0
64,2.133,51.775,83.745,148.605,49.606,171.898,29.521,0.997776,0.023733,-0.062280,0.001007,0
65,2.167,49.854,81.454,148.447,49.771,171.912,29.504,0.998248,0.014556,-0.057340,0.000684,0
66,2.200,50.785,82.565,148.589,49.623,172.085,29.294,0.998162,0.018720,-0.057635,0.000744,0
67,2.233,53.148,85.384,149.740,48.421,171.882,29.542,0.998105,0.019921,-0.058211,0.000790,0
68,2.267,53.192,85.436,149.009,49.184,171.615,29.867,0.998202,0.016847,-0.057516,0.000738,0
69,2.300,52.030,84.050,148.896,49.302,171.757,29.694,0.998345,0.016142,-0.055199,0.000617,0
70,2.333,52.026,84.045,150.022,48.127,172.062,29.322,0.998359,0.015244,-0.055193,0.000611,0
71,2.367,53.777,86.135,150.532,47.594,172.157,29.206,0.998068,0.019781,-0.058889,0.000809,0
72,2.400,53.011,85.220,149.573,48.596,171.804,29.636,0.998169,0.019022,-0.057415,0.000723,0
73,2.433,52.194,84.245,150.239,47.900,171.823,29.614,0.997892,0.021156,-0.061344,0.000954,0
74,2.467,52.044,84.067,149.383,48.794,171.381,30.153,0.997945,0.019786,-0.060933,0.000898,0
75,2.500,51.686,83.639,149.767,48.393,171.969,29.435,0.998096,0.019589,-0.058479,0.000781,0
76,2.533,50.621,82.368,149.859,48.297,171.809,29.631,0.997911,0.020436,-0.061278,0.000942,0
77,2.567,51.552,83.479,149.741,48.420,171.556,29.939,0.998029,0.019150,-0.059752,0.000834,0
78,2.600,51.370,83.263,149.503,48.668,171.622,29.859,0.998132,0.017206,-0.058612,0.000733,0
79,2.633,51.485,83.399,150.104,48.040,171.296,30.255,0.998102,0.016446,-0.059345,0.000769,0
80,2.667,51.410,83.310,149.665,48.499,171.660,29.812,0.998211,0.015905,-0.057628,0.000710,0
81,2.700,51.601,83.538,149.963,48.188,171.591,29.897,0.998308,0.014409,-0.056332,0.000659,0
82,2.733,52.124,84.162,149.747,48.413,171.723,29.735,0.998220,0.017301,-0.057075,0.000703,0
83,2.767,53.445,85.738,149.736,48.425,171.767,29.682,0.998368,0.016349,-0.054714,0.000575,0
84,2.800,51.064,82.898,149.678,48.485,171.948,29.461,0.998322,0.016181,-0.055602,0.000603,0
85,2.833,49.958,81.578,148.849,49.351,171.517,29.986,0.998129,0.016285,-0.058926,0.000713,0
86,2.867,51.416,83.317,150.180,47.962,171.627,29.852,0.998266,0.016232,-0.056576,0.000645,0
87,2.900,53.691,86.032,150.603,47.520,172.373,28.943,0.000579,0.006219,0.021407,0.999751,0
88,2.933,52.950,85.148,149.207,48.977,171.739,29.716,0.000929,-0.001229,0.027763,0.999613,0
89,2.967,55.506,88.197,150.247,47.891,171.323,30.222,0.000726,0.003119,0.024421,0.999697,0
90,3.000,57.321,90.363,150.400,47.732,170.876,30.768,0.998076,0.022276,-0.057849,0.000789,0
91,3.033,54.994,87.586,149.507,48.664,170.368,31.388,0.997957,0.021146,-0.060275,0.000820,0
92,3.067,53.577,85.896,149.808,48.350,169.612,32.309,0.001324,-0.001744,0.033414,0.999439,0
93,3.100,54.797,87.352,150.301,47.836,169.558,32.375,0.001305,-0.001628,0.030407,0.999535,0
94,3.133,50.339,82.032,148.626,49.585,168.743,33.369,0.001331,-0.000599,0.032310,0.999477,0
95,3.167,52.721,84.875,149.550,48.619,168.047,34.216,0.001312,-0.000170,0.030909,0.999521,0
96,3.200,53.942,86.332,148.324,49.899,166.379,36.251,0.001574,-0.003960,0.034450,0.999397,0
97,3.233,59.760,93.273,150.312,47.824,165.454,37.378,0.001244,-0.000343,0.028314,0.999598,0
98,3.267,59.328,92.757,149.929,48.223,163.585,39.657,0.001503,-0.003117,0.031864,0.999486,0
99,3.300,57.557,90.644,147.955,50.285,161.431,42.283,0.001243,0.001895,0.027228,0.999627,0
100,3.333,59.253,92.668,149.832,48.325,160.019,44.004,0.001472,-0.000287,0.029824,0.999554,0
101,3.367,60.947,94.690,149.004,49.189,158.595,45.740,0.001429,0.001200,0.029545,0.999562,0
102,3.400,63.181,97.355,149.372,48.805,157.498,47.078,0.001456,0.001214,0.028438,0.999594,0
103,3.433,60.085,93.661,147.476,50.785,154.911,50.231,0.001743,0.001338,0.033973,0.999420,0
