frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,27.630,54.178,124.485,71.104,126.319,59.661,0.982444,0.092807,-0.161257,0.013688,0
1,0.033,27.511,54.035,123.460,72.199,125.300,60.600,0.983584,0.087174,-0.157491,0.012679,0
2,0.067,28.982,55.805,123.639,72.008,124.523,61.317,0.983140,0.090787,-0.158175,0.013171,0
3,0.100,29.607,56.556,124.315,71.285,125.525,60.393,0.984035,0.085205,-0.155763,0.012408,0
4,0.133,29.504,56.432,123.345,72.322,124.152,61.659,0.983379,0.090024,-0.157154,0.012846,0
5,0.167,28.858,55.655,122.922,72.773,124.037,61.764,0.983725,0.087348,-0.156492,0.012883,0
6,0.200,29.318,56.208,122.891,72.807,125.293,60.607,0.985535,0.080917,-0.148511,0.010852,0
7,0.233,30.302,57.392,123.886,71.744,125.633,60.293,0.985546,0.081601,-0.148062,0.010875,0
8,0.267,30.111,57.162,122.603,73.115,125.060,60.821,0.986776,0.076416,-0.142609,0.009800,0
9,0.300,29.861,56.861,123.092,72.592,125.876,60.069,0.986661,0.075977,-0.143639,0.009721,0
10,0.333,29.466,56.386,122.559,73.161,124.985,60.890,0.985755,0.081832,-0.146551,0.010681,0
11,0.367,29.571,56.512,121.596,74.190,123.694,62.081,0.986150,0.077957,-0.146050,0.010030,0
12,0.400,30.142,57.199,122.130,73.620,124.085,61.721,0.986445,0.078126,-0.143959,0.009944,0
13,0.433,28.828,55.619,120.826,75.013,122.296,63.370,0.985030,0.083073,-0.150630,0.011168,0
14,0.467,29.224,56.095,121.377,74.424,123.113,62.616,0.985723,0.079898,-0.147818,0.010794,0
15,0.500,29.235,56.108,121.049,74.775,121.886,63.748,0.983911,0.088015,-0.154994,0.012198,0
16,0.533,28.926,55.737,120.310,75.565,121.100,64.473,0.984026,0.087076,-0.154820,0.011858,0
17,0.567,28.061,54.697,120.099,75.790,121.198,64.383,0.983751,0.085001,-0.157658,0.012321,0
18,0.600,28.666,55.423,120.446,75.419,121.831,63.799,0.983346,0.090767,-0.156944,0.012694,0
19,0.633,30.076,57.119,120.604,75.251,121.266,64.320,0.983915,0.086159,-0.156042,0.011787,0
20,0.667,30.068,57.110,121.450,74.346,123.064,62.662,0.984069,0.087423,-0.154362,0.011761,0
21,0.700,29.761,56.741,120.167,75.718,121.267,64.319,0.982323,0.096786,-0.159705,0.013005,0
22,0.733,30.703,57.873,120.900,74.934,121.965,63.676,0.982814,0.094718,-0.157945,0.012559,0
23,0.767,30.383,57.488,121.228,74.584,123.114,62.616,0.983202,0.093085,-0.156524,0.012248,0
24,0.800,30.365,57.467,121.564,74.225,123.286,62.457,0.982711,0.095070,-0.158373,0.012565,0
25,0.833,29.975,56.999,121.450,74.346,122.681,63.015,0.981375,0.099437,-0.163784,0.013791,0
26,0.867,29.299,56.186,121.524,74.268,123.239,62.501,0.981613,0.098718,-0.162825,0.013402,0
27,0.900,29.673,56.635,121.668,74.113,123.099,62.629,0.981026,0.098707,-0.166295,0.013832,0
28,0.933,28.596,55.340,121.389,74.412,122.761,62.942,0.979950,0.103367,-0.169690,0.014762,0
29,0.967,28.940,55.754,120.911,74.922,123.286,62.457,0.980643,0.100473,-0.167475,0.014017,0
30,1.000,113.338,150.000,171.474,20.892,154.132,34.016,0.091622,0.233102,-0.180467,0.951157,0
31,1.033,110.569,150.000,169.924,22.548,154.920,33.290,0.092201,0.238544,-0.186736,0.948539,0
32,1.067,108.705,150.000,167.270,25.384,156.249,32.064,0.089309,0.238179,-0.183981,0.949445,0
33,1.100,111.616,150.000,168.869,23.675,154.136,34.012,0.076190,0.214654,-0.156564,0.961044,0
34,1.133,112.132,150.000,168.785,23.765,152.177,35.819,0.076168,0.219616,-0.161612,0.959088,0
35,1.167,114.430,150.000,169.987,22.480,149.174,38.588,0.066494,0.201467,-0.150047,0.965648,0
36,1.200,112.956,150.000,166.943,25.734,144.618,42.789,0.056645,0.185045,-0.131504,0.972243,0
37,1.233,114.940,150.000,165.666,27.098,142.797,44.467,0.058339,0.188699,-0.143315,0.969768,0
38,1.267,115.639,150.000,164.297,28.561,141.757,45.427,0.065330,0.202617,-0.161111,0.963702,0
39,1.300,115.304,150.000,164.255,28.606,140.996,46.129,0.053222,0.181225,-0.140561,0.971889,0
40,1.333,114.650,150.000,163.301,29.625,141.189,45.950,0.043057,0.160561,-0.113030,0.979587,0
41,1.367,116.367,150.000,167.257,25.398,143.505,43.815,0.029373,0.135052,-0.077810,0.987342,0
42,1.400,115.656,150.000,169.089,23.441,149.155,38.605,0.030717,0.137684,-0.088134,0.986069,0
43,1.433,114.259,150.000,169.767,22.716,153.144,34.927,0.022906,0.117338,-0.066748,0.990582,0
44,1.467,111.652,150.000,169.333,23.180,157.743,30.686,0.019873,0.101397,-0.061735,0.992730,0
45,1.500,109.007,150.000,168.339,24.241,161.538,27.188,0.020995,0.104094,-0.067818,0.992030,0
46,1.533,107.366,150.000,168.578,23.986,163.656,25.235,0.021600,0.101252,-0.066790,0.992381,0
47,1.567,106.984,149.612,168.783,23.767,165.335,23.687,0.025350,0.109893,-0.078390,0.990523,0
48,1.600,106.597,149.147,168.260,24.326,164.360,24.586,0.026546,0.118076,-0.076828,0.989672,0
49,1.633,106.487,149.015,168.510,24.059,163.267,25.594,0.023192,0.110177,-0.069763,0.991189,0
50,1.667,105.913,148.325,167.672,24.954,162.088,26.680,0.027806,0.124060,-0.082624,0.988438,0
51,1.700,107.723,150.000,168.209,24.380,160.563,28.087,0.029076,0.128698,-0.086032,0.987517,0
52,1.733,108.753,150.000,168.264,24.322,159.399,29.160,0.027687,0.124160,-0.085278,0.988203,0
53,1.767,110.003,150.000,167.846,24.768,158.838,29.677,0.028181,0.123749,-0.090480,0.987778,0
54,1.800,110.813,150.000,166.739,25.951,159.039,29.492,0.035858,0.143443,-0.111249,0.982732,0
55,1.833,112.015,150.000,166.649,26.047,158.554,29.939,0.031992,0.139100,-0.098948,0.984803,0
56,1.867,112.884,150.000,164.186,28.680,159.040,29.491,0.038490,0.154341,-0.108409,0.981297,0
57,1.900,115.286,150.000,164.856,27.964,160.614,28.040,0.045117,0.172094,-0.122025,0.976452,0
58,1.933,114.367,150.000,165.450,27.329,162.212,26.566,0.048409,0.179358,-0.128026,0.974216,0
59,1.967,114.718,150.000,166.879,25.802,164.144,24.785,0.051879,0.190663,-0.137318,0.970618,0
60,2.000,112.815,150.000,167.883,24.729,164.345,24.600,0.055404,0.192430,-0.145699,0.968851,0
61,2.033,112.740,150.000,167.737,24.885,164.378,24.569,0.059422,0.201594,-0.148104,0.966382,0
62,2.067,112.213,150.000,168.567,23.998,164.691,24.281,0.069370,0.217109,-0.164354,0.959708,0
63,2.100,112.437,150.000,169.747,22.737,164.350,24.595,0.065591,0.210113,-0.160399,0.962197,0
64,2.133,113.351,150.000,169.672,22.817,163.951,24.963,0.067224,0.210215,-0.159496,0.962212,0
65,2.167,39.505,68.460,132.635,62.394,139.565,47.448,0.986801,0.090167,-0.134158,0.009724,0
66,2.200,39.623,68.601,132.437,62.606,138.778,48.174,0.985910,0.094010,-0.137972,0.010352,0
67,2.233,39.555,68.520,132.724,62.299,139.605,47.410,0.988338,0.083184,-0.127261,0.008596,0
68,2.267,40.833,70.056,134.595,60.300,140.851,46.262,0.988665,0.083681,-0.124377,0.008357,0
69,2.300,40.374,69.505,134.798,60.083,141.116,46.017,0.989064,0.079801,-0.123776,0.008042,0
70,2.333,40.261,69.369,135.344,59.500,141.037,46.090,0.987959,0.084241,-0.129455,0.009038,0
71,2.367,39.751,68.755,136.204,58.580,141.729,45.452,0.988154,0.083099,-0.128693,0.009149,0
72,2.400,39.697,68.691,135.514,59.317,141.104,46.029,0.987884,0.085638,-0.129086,0.009342,0
73,2.433,39.433,68.373,136.228,58.556,142.176,45.040,0.988813,0.079132,-0.126150,0.008575,0
74,2.467,39.541,68.502,136.517,58.247,142.139,45.075,0.988271,0.084071,-0.127149,0.009304,0
75,2.500,40.115,69.193,136.582,58.176,142.192,45.025,0.988693,0.082840,-0.124674,0.008960,0
