frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,28.673,55.432,114.712,81.547,122.864,62.846,0.009047,0.012253,0.051933,0.998534,0
1,0.033,27.846,54.437,114.785,81.468,124.205,61.610,0.009344,0.011624,0.053198,0.998473,0
2,0.067,29.686,56.650,115.490,80.716,123.882,61.908,0.009331,0.010063,0.052795,0.998511,0
3,0.100,29.576,56.518,114.165,82.131,121.829,63.800,0.009744,0.009531,0.056784,0.998293,0
4,0.133,29.346,56.242,113.927,82.385,122.005,63.638,0.009531,0.010387,0.055366,0.998367,0
5,0.167,30.046,57.084,115.281,80.939,123.738,62.041,0.009271,0.009664,0.053663,0.998469,0
6,0.200,27.597,54.138,112.821,83.568,121.149,64.428,0.009689,0.007699,0.055581,0.998377,0
7,0.233,29.381,56.284,113.877,82.439,122.151,63.504,0.008488,0.013331,0.049779,0.998635,0
8,0.267,28.816,55.604,114.020,82.286,122.436,63.241,0.009177,0.011690,0.053544,0.998455,0
9,0.300,28.751,55.526,114.057,82.246,122.604,63.086,0.008336,0.016315,0.048342,0.998663,0
10,0.333,29.090,55.934,113.626,82.707,122.617,63.074,0.008494,0.015512,0.050276,0.998579,0
11,0.367,28.055,54.689,113.753,82.572,122.486,63.195,0.008681,0.015384,0.050427,0.998572,0
12,0.400,27.190,53.649,113.568,82.769,121.681,63.937,0.009925,0.010136,0.055861,0.998338,0
13,0.433,27.978,54.597,114.091,82.210,123.244,62.496,0.008220,0.017284,0.047541,0.998686,0
14,0.467,29.706,56.675,114.471,81.804,123.346,62.402,0.007848,0.017028,0.045788,0.998775,0
15,0.500,29.387,56.291,114.232,82.060,123.124,62.607,0.007778,0.017511,0.045491,0.998781,0
16,0.533,28.138,54.789,113.477,82.867,122.219,63.441,0.007910,0.017371,0.045341,0.998789,0
17,0.567,28.321,55.009,113.535,82.805,121.949,63.690,0.008201,0.018677,0.046783,0.998697,0
18,0.600,28.849,55.644,114.688,81.572,123.308,62.437,0.008347,0.015408,0.047698,0.998708,0
19,0.633,28.108,54.752,114.110,82.190,123.208,62.529,0.008575,0.014477,0.049004,0.998657,0
20,0.667,28.574,55.314,114.278,82.010,122.800,62.906,0.008924,0.015109,0.052004,0.998493,0
21,0.700,29.213,56.081,114.226,82.066,123.092,62.636,0.008486,0.015404,0.049156,0.998636,0
22,0.733,28.977,55.798,113.972,82.338,122.557,63.129,0.008503,0.015051,0.050766,0.998561,0
23,0.767,29.245,56.120,113.928,82.385,122.559,63.128,0.008087,0.015455,0.046680,0.998758,0
24,0.800,29.978,57.001,114.253,82.037,122.026,63.619,0.008842,0.013944,0.052062,0.998507,0
25,0.833,29.883,56.888,114.684,81.577,123.706,62.070,0.008309,0.016062,0.047059,0.998728,0
26,0.867,29.061,55.899,113.755,82.570,122.633,63.059,0.007481,0.019780,0.044074,0.998804,0
27,0.900,29.151,56.008,114.124,82.175,122.077,63.572,0.009296,0.013495,0.053736,0.998421,0
28,0.933,28.609,55.355,113.815,82.506,122.201,63.457,0.008832,0.014571,0.052101,0.998496,0
29,0.967,29.139,55.993,114.937,81.306,123.049,62.676,0.009819,0.009961,0.057061,0.998273,0
30,1.000,30.032,57.066,114.730,81.528,122.742,62.959,0.009532,0.009766,0.055480,0.998367,0
31,1.033,29.130,55.982,115.240,80.982,123.278,62.465,0.010391,0.006418,0.060650,0.998084,0
32,1.067,30.025,57.059,114.344,81.940,122.457,63.221,0.008445,0.015122,0.050218,0.998588,0
33,1.100,30.394,57.503,114.652,81.611,122.866,62.845,0.008549,0.014047,0.050412,0.998593,0
34,1.133,31.021,58.256,115.091,81.142,123.782,62.000,0.008271,0.013637,0.047709,0.998734,0
35,1.167,31.583,58.932,115.691,80.501,124.037,61.765,0.009159,0.012159,0.054574,0.998394,0
36,1.200,30.891,58.100,114.819,81.433,123.126,62.605,0.008687,0.013040,0.051935,0.998528,0
37,1.233,29.534,56.468,114.486,81.788,123.372,62.378,0.007848,0.016788,0.047069,0.998720,0
38,1.267,29.947,56.964,114.568,81.700,124.010,61.789,0.007555,0.017701,0.044663,0.998817,0
39,1.300,30.694,57.863,115.511,80.693,126.226,59.747,0.006998,0.021190,0.041965,0.998870,0
40,1.333,30.469,57.592,115.852,80.328,127.079,58.960,0.005487,0.027330,0.031827,0.999105,0
