frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,46.042,76.321,125.123,70.422,115.433,69.698,0.984014,0.105701,-0.142984,0.009979,0
1,0.033,45.933,76.190,124.585,70.996,115.449,69.684,0.983543,0.108289,-0.144265,0.010235,0
2,0.067,45.511,75.682,124.463,71.127,115.015,70.084,0.983502,0.107542,-0.145106,0.010115,0
3,0.100,45.414,75.566,124.922,70.637,115.149,69.960,0.982807,0.110785,-0.147328,0.010569,0
4,0.133,45.823,76.058,125.043,70.507,115.249,69.867,0.983453,0.107973,-0.145103,0.010344,0
5,0.167,44.394,74.339,123.853,71.779,114.730,70.346,0.983047,0.108738,-0.147248,0.010643,0
6,0.200,45.233,75.349,124.776,70.792,115.644,69.504,0.009869,-0.053469,0.098487,0.993652,0
7,0.233,45.500,75.669,125.127,70.417,115.398,69.730,0.984019,0.105044,-0.143445,0.009813,0
8,0.267,44.199,74.105,124.908,70.651,115.589,69.554,0.983029,0.107324,-0.148396,0.010669,0
9,0.300,45.259,75.379,124.811,70.755,115.218,69.896,0.983671,0.105680,-0.145333,0.010082,0
10,0.333,45.054,75.133,124.758,70.812,115.598,69.545,0.983502,0.107773,-0.144924,0.010266,0
11,0.367,44.402,74.349,123.738,71.902,115.023,70.076,0.010739,-0.058936,0.101884,0.992991,0
12,0.400,44.496,74.461,123.849,71.783,115.126,69.981,0.010262,-0.056071,0.100102,0.993343,0
13,0.433,43.672,73.471,123.862,71.769,115.049,70.052,0.983225,0.108134,-0.146504,0.010626,0
14,0.467,44.233,74.145,124.216,71.391,115.264,69.854,0.983839,0.105067,-0.144629,0.010180,0
15,0.500,45.100,75.188,124.228,71.378,115.473,69.661,0.983289,0.108784,-0.145599,0.010437,0
16,0.533,44.114,74.003,124.219,71.388,115.265,69.853,0.983606,0.107288,-0.144583,0.010239,0
17,0.567,44.156,74.053,123.890,71.739,115.009,70.089,0.009883,-0.052871,0.097181,0.993812,0
18,0.600,43.189,72.889,123.888,71.742,115.216,69.898,0.009963,-0.053345,0.098608,0.993646,0
19,0.633,43.680,73.481,124.158,71.453,114.822,70.262,0.010938,-0.056895,0.102588,0.993035,0
20,0.667,45.189,75.295,124.095,71.521,115.039,70.062,0.009846,-0.051520,0.096506,0.993949,0
21,0.700,44.134,74.027,124.438,71.154,115.651,69.497,0.009772,-0.050942,0.097326,0.993900,0
22,0.733,43.994,73.859,124.427,71.165,115.891,69.276,0.010085,-0.052433,0.098482,0.993705,0
23,0.767,44.669,74.669,125.259,70.277,116.145,69.042,0.010166,-0.052453,0.097949,0.993756,0
24,0.800,45.871,76.115,126.047,69.434,116.526,68.690,0.010814,-0.056870,0.100200,0.993282,0
25,0.833,44.014,73.882,125.526,69.991,117.121,68.141,0.009884,-0.049859,0.094810,0.994197,0
26,0.867,45.435,75.591,125.963,69.524,116.848,68.393,0.010531,-0.053787,0.094309,0.994033,0
27,0.900,48.348,79.095,128.241,67.090,117.890,67.433,0.010639,-0.053612,0.094151,0.994056,0
28,0.933,45.801,76.031,126.564,68.882,118.227,67.122,0.010200,-0.050356,0.092914,0.994348,0
29,0.967,46.188,76.496,127.070,68.341,118.278,67.075,0.011113,-0.054660,0.097173,0.993703,0
30,1.000,47.913,78.571,127.385,68.004,119.454,65.990,0.010048,-0.050720,0.091223,0.994487,0
31,1.033,48.272,79.003,128.369,66.953,119.926,65.555,0.009550,-0.048929,0.087411,0.994924,0
32,1.067,46.583,76.972,127.258,68.141,118.958,66.448,0.011008,-0.056298,0.097197,0.993611,0
33,1.100,47.329,77.869,127.884,67.471,119.903,65.577,0.010284,-0.052095,0.091907,0.994351,0
34,1.133,47.109,77.605,128.433,66.885,120.344,65.170,0.010407,-0.052369,0.093183,0.994216,0
35,1.167,47.892,78.546,127.685,67.684,120.230,65.275,0.009880,-0.051028,0.087828,0.994779,0
36,1.200,47.360,77.906,127.871,67.485,120.178,65.323,0.009944,-0.053345,0.091166,0.994356,0
37,1.233,47.911,78.569,127.901,67.453,120.869,64.686,0.009576,-0.049134,0.090532,0.994635,0
38,1.267,47.370,77.918,127.346,68.047,121.675,63.943,0.009108,-0.045469,0.085007,0.995301,0
39,1.300,47.713,78.330,127.224,68.176,121.796,63.831,0.009418,-0.048453,0.081788,0.995427,0
40,1.333,47.254,77.779,127.852,67.506,122.722,62.977,0.008164,-0.041003,0.077045,0.996151,0
41,1.367,46.525,76.902,127.963,67.386,123.468,62.289,0.008759,-0.044275,0.081951,0.995614,0
42,1.400,46.936,77.397,127.480,67.903,123.173,62.562,0.008476,-0.040913,0.081227,0.995819,0
43,1.433,46.376,76.723,128.350,66.973,125.152,60.736,0.007694,-0.039397,0.075328,0.996351,0
44,1.467,47.289,77.821,128.381,66.940,124.500,61.338,0.007550,-0.036748,0.075695,0.996425,0
45,1.500,46.928,77.387,127.492,67.891,123.716,62.061,0.009069,-0.046978,0.084988,0.995233,0
46,1.533,45.002,75.070,127.303,68.092,124.137,61.673,0.008590,-0.043675,0.084122,0.995461,0
47,1.567,45.682,75.888,127.499,67.882,124.356,61.471,0.008677,-0.043422,0.083465,0.995526,0
48,1.600,45.436,75.593,126.749,68.684,124.519,61.321,0.007919,-0.039967,0.080979,0.995883,0
49,1.633,45.247,75.365,128.150,67.187,125.881,60.065,0.007897,-0.040851,0.079881,0.995936,0
50,1.667,45.750,75.970,127.302,68.093,124.713,61.142,0.007821,-0.037488,0.080438,0.996024,0
51,1.700,46.102,76.393,127.547,67.831,124.395,61.435,0.007741,-0.038032,0.080892,0.995967,0
52,1.733,45.654,75.854,127.190,68.213,125.484,60.430,0.007945,-0.041143,0.078327,0.996047,0
53,1.767,45.749,75.968,127.315,68.079,125.297,60.603,0.008363,-0.042787,0.080459,0.995804,0
54,1.800,46.400,76.751,127.038,68.375,125.482,60.432,0.007702,-0.038086,0.074895,0.996434,0
55,1.833,45.608,75.800,126.340,69.121,125.667,60.262,0.007195,-0.035249,0.074406,0.996579,0
56,1.867,45.148,75.246,126.727,68.708,125.906,60.042,0.007399,-0.038092,0.076224,0.996335,0
57,1.900,45.140,75.236,126.747,68.687,126.124,59.841,0.007131,-0.036441,0.075510,0.996453,0
58,1.933,45.728,75.944,126.996,68.420,126.353,59.629,0.006729,-0.031916,0.071479,0.996909,0
59,1.967,45.283,75.409,126.927,68.494,127.053,58.984,0.006509,-0.031855,0.070430,0.996987,0
60,2.000,45.123,75.216,126.132,69.343,127.067,58.972,0.006611,-0.033574,0.074847,0.996608,0
61,2.033,45.189,75.296,126.686,68.751,127.003,59.030,0.006418,-0.031174,0.071176,0.996956,0
62,2.067,46.021,76.296,127.112,68.296,127.058,58.980,0.006463,-0.032565,0.070971,0.996926,0
63,2.100,46.697,77.108,126.936,68.484,125.928,60.022,0.007082,-0.036896,0.078097,0.996238,0
64,2.133,45.927,76.183,126.548,68.899,126.416,59.571,0.006363,-0.032044,0.072293,0.996848,0
65,2.167,46.030,76.307,127.030,68.384,126.077,59.884,0.006730,-0.035387,0.072588,0.996711,0
66,2.200,46.608,77.001,127.146,68.260,126.271,59.705,0.006583,-0.034318,0.072403,0.996763,0
67,2.233,46.541,76.921,127.427,67.960,127.445,58.622,0.005879,-0.029276,0.066449,0.997343,0
68,2.267,46.520,76.896,127.404,67.984,127.060,58.977,0.005974,-0.029045,0.068637,0.997201,0
69,2.300,46.969,77.436,127.928,67.425,127.446,58.622,0.006060,-0.029028,0.067552,0.997275,0
70,2.333,46.744,77.165,128.426,66.892,127.472,58.598,0.006209,-0.031796,0.067937,0.997164,0
71,2.367,46.739,77.159,127.878,67.478,127.434,58.633,0.005424,-0.024958,0.061983,0.997750,0
72,2.400,47.083,77.573,127.727,67.639,126.805,59.213,0.005890,-0.027714,0.067087,0.997345,0
73,2.433,46.006,76.277,128.180,67.155,127.236,58.815,0.005604,-0.025025,0.065465,0.997525,0
74,2.467,46.718,77.134,127.648,67.724,126.218,59.754,0.006146,-0.028776,0.068693,0.997204,0
75,2.500,46.921,77.378,128.097,67.244,126.590,59.411,0.005610,-0.026379,0.065055,0.997517,0
76,2.533,46.481,76.849,127.828,67.531,127.196,58.852,0.005636,-0.026862,0.063673,0.997593,0
77,2.567,46.834,77.274,128.142,67.196,126.851,59.170,0.005602,-0.025310,0.063331,0.997656,0
78,2.600,47.777,78.408,128.859,66.430,127.252,58.800,0.006311,-0.030050,0.067917,0.997218,0
79,2.633,45.295,75.423,126.929,68.492,126.918,59.108,0.005601,-0.024658,0.064028,0.997628,0
80,2.667,44.702,74.709,127.435,67.951,126.424,59.564,0.005770,-0.023658,0.065412,0.997561,0
81,2.700,46.078,76.365,127.070,68.341,126.064,59.895,0.005186,-0.020823,0.060835,0.997917,0
82,2.733,45.841,76.079,127.135,68.271,126.245,59.729,0.005104,-0.021927,0.060738,0.997900,0
83,2.767,45.849,76.089,127.263,68.135,125.600,60.323,0.005441,-0.022537,0.065790,0.997564,0
84,2.800,45.793,76.022,127.091,68.318,125.172,60.718,0.005916,-0.023062,0.068525,0.997365,0
85,2.833,47.346,77.889,126.888,68.535,125.212,60.681,0.005479,-0.020496,0.065789,0.997608,0
86,2.867,46.748,77.170,126.595,68.849,124.489,61.348,0.005337,-0.021846,0.064669,0.997653,0
87,2.900,46.392,76.743,126.497,68.953,123.932,61.861,0.006096,-0.025167,0.072363,0.997042,0
88,2.933,47.160,77.666,127.082,68.328,124.510,61.328,0.005958,-0.025061,0.068063,0.997348,0
89,2.967,47.322,77.860,126.938,68.483,124.032,61.769,0.005872,-0.021746,0.068938,0.997367,0
90,3.000,44.636,74.631,124.376,71.219,122.011,63.633,0.005550,-0.018876,0.068852,0.997433,0
91,3.033,43.944,73.798,124.746,70.825,120.957,64.605,0.006611,-0.023746,0.078792,0.996586,0
92,3.067,42.932,72.581,124.080,71.537,120.144,65.354,0.007228,-0.027466,0.082760,0.996165,0
93,3.100,43.398,73.141,124.036,71.583,120.706,64.836,0.007411,-0.027213,0.080758,0.996335,0
94,3.133,42.490,72.049,122.769,72.937,119.532,65.919,0.007454,-0.027980,0.080638,0.996323,0
95,3.167,42.982,72.641,122.498,73.227,119.399,66.041,0.008106,-0.030185,0.083894,0.995984,0
96,3.200,44.706,74.715,124.327,71.272,120.478,65.047,0.008951,-0.034060,0.088367,0.995465,0
97,3.233,44.124,74.014,123.741,71.899,120.268,65.240,0.008690,-0.032662,0.086975,0.995637,0
98,3.267,42.823,72.449,123.186,72.492,118.956,66.450,0.008863,-0.034386,0.091759,0.995148,0
99,3.300,41.962,71.414,122.980,72.712,119.201,66.224,0.009189,-0.037643,0.093655,0.994850,0
100,3.333,41.247,70.554,122.792,72.912,118.996,66.413,0.009107,-0.035328,0.094601,0.994846,0
101,3.367,43.511,73.277,124.015,71.605,118.503,66.867,0.010447,-0.044804,0.093964,0.994512,0
102,3.400,42.887,72.527,124.866,70.697,119.784,65.686,0.010734,-0.043982,0.097572,0.994198,0
103,3.433,42.897,72.538,124.809,70.757,119.907,65.573,0.010479,-0.043035,0.095046,0.994487,0
104,3.467,42.241,71.750,124.520,71.066,119.311,66.122,0.011226,-0.047238,0.098179,0.993984,0
105,3.500,42.092,71.571,125.697,69.808,120.244,65.262,0.011510,-0.046563,0.100582,0.993772,0
106,3.533,42.516,72.080,125.111,70.435,119.887,65.591,0.010444,-0.041625,0.094407,0.994608,0
107,3.567,42.210,71.713,124.915,70.644,118.932,66.471,0.011561,-0.045819,0.102164,0.993645,0
108,3.600,42.076,71.552,124.379,71.217,118.902,66.500,0.011421,-0.046041,0.098457,0.994010,0
109,3.633,43.275,72.994,125.603,69.909,119.491,65.956,0.011663,-0.045183,0.097678,0.994123,0
110,3.667,43.763,73.580,125.409,70.116,119.571,65.883,0.011514,-0.046470,0.096079,0.994222,0
111,3.700,43.085,72.765,124.708,70.865,118.734,66.655,0.012214,-0.049684,0.101699,0.993499,0
112,3.733,42.647,72.238,125.063,70.486,118.653,66.729,0.012123,-0.047432,0.101539,0.993626,0
