frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,68.403,103.213,177.235,14.736,171.176,18.301,0.004524,0.054195,-0.062173,0.996583,0
1,0.033,69.039,103.979,176.368,15.663,170.890,18.565,0.993526,-0.080045,0.080458,0.005000,0
2,0.067,68.741,103.620,175.871,16.193,171.140,18.334,0.994977,-0.070559,0.070903,0.003749,0
3,0.100,71.798,107.296,176.892,15.102,171.852,17.678,0.994839,-0.069419,0.073878,0.004236,0
4,0.133,72.555,108.207,176.980,15.008,171.848,17.682,0.995624,-0.062235,0.069611,0.003615,0
5,0.167,73.112,108.877,177.125,14.854,171.526,17.979,0.996415,-0.057263,0.062215,0.002672,0
6,0.200,71.835,107.341,176.666,15.344,171.809,17.718,0.997512,-0.045836,0.053537,0.001617,0
7,0.233,72.847,108.558,176.726,15.280,171.595,17.915,0.997436,-0.045310,0.055362,0.001726,0
8,0.267,74.207,110.194,177.336,14.628,171.325,18.163,0.997704,-0.044951,0.050631,0.001472,0
9,0.300,72.725,108.412,177.481,14.473,171.189,18.290,0.000686,0.013926,-0.023152,0.999635,0
10,0.333,72.479,108.115,176.901,15.093,171.245,18.237,0.000397,0.008060,-0.017313,0.999818,0
11,0.367,72.275,107.869,177.107,14.872,171.615,17.896,0.000467,0.010213,-0.020654,0.999734,0
12,0.400,71.355,106.764,177.450,14.506,171.273,18.212,0.000306,0.008198,-0.015939,0.999839,0
13,0.433,73.091,108.852,176.837,15.161,171.654,17.861,0.999633,-0.015758,0.022025,0.000181,0
14,0.467,75.385,111.610,177.345,14.618,171.725,17.795,0.999657,-0.015953,0.020768,0.000213,0
15,0.500,75.992,112.340,176.843,15.155,171.800,17.726,0.000131,0.006148,-0.011415,0.999916,0
16,0.533,77.797,114.512,177.393,14.567,171.927,17.609,0.000082,0.003672,-0.007981,0.999961,0
17,0.567,76.402,112.833,177.040,14.944,172.152,17.401,0.000053,0.001270,-0.006133,0.999980,0
18,0.600,76.019,112.373,177.204,14.769,172.070,17.477,0.999805,-0.012580,0.015237,0.000107,0
19,0.633,75.900,112.230,177.408,14.551,171.836,17.692,0.000018,-0.002489,-0.004280,0.999988,0
20,0.667,73.422,109.249,177.472,14.482,172.174,17.381,0.999935,-0.005405,0.010066,0.000015,0
21,0.700,76.313,112.726,177.756,14.179,172.064,17.483,0.999886,-0.008706,0.012319,0.000047,0
22,0.733,74.766,110.866,178.141,13.768,171.879,17.653,0.000015,-0.000806,-0.003665,0.999993,0
23,0.767,74.809,110.917,177.594,14.352,172.194,17.363,0.999888,-0.007540,0.012907,0.000044,0
24,0.800,73.260,109.055,177.134,14.844,172.016,17.526,0.000034,0.000691,-0.004606,0.999989,0
25,0.833,73.693,109.576,177.199,14.774,172.140,17.412,0.000094,0.003493,-0.009319,0.999950,0
26,0.867,74.922,111.053,177.692,14.247,172.081,17.467,0.000101,0.003896,-0.010358,0.999939,0
