frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,49.427,69.578,143.773,51.333,147.390,41.761,0.999582,0.000545,-0.028920,-0.000054,0
1,0.033,49.577,69.757,144.247,50.839,147.603,41.565,0.999568,0.001083,-0.029374,-0.000051,0
2,0.067,28.551,44.645,169.143,24.907,155.933,33.948,0.006089,0.065735,-0.038312,0.997083,0
3,0.100,49.450,69.605,143.885,51.216,147.462,41.694,0.999664,-0.002045,-0.025847,-0.000021,0
4,0.133,30.836,47.374,169.586,24.445,158.262,31.818,0.006124,0.076492,-0.045362,0.996019,0
5,0.167,28.017,44.008,172.437,21.475,161.877,28.512,0.010055,0.094144,-0.100449,0.990427,0
6,0.200,49.672,69.870,143.821,51.282,147.032,42.088,0.999602,-0.000089,-0.028216,-0.000026,0
7,0.233,50.504,70.864,144.022,51.073,146.948,42.164,0.999654,-0.000659,-0.026312,-0.000022,0
8,0.267,32.436,49.285,172.950,20.941,160.333,29.924,0.009497,0.125096,-0.080010,0.988868,0
9,0.300,35.783,53.283,171.751,22.190,157.476,32.537,0.006655,0.119213,-0.054984,0.991323,0
10,0.333,50.593,70.971,145.517,49.516,147.375,41.774,-0.000007,0.023997,-0.005455,0.999697,0
11,0.367,49.925,70.172,144.580,50.492,147.311,41.833,-0.000004,0.026580,-0.005494,0.999632,0
12,0.400,49.865,70.101,143.726,51.382,146.711,42.381,0.000003,0.025876,-0.003387,0.999659,0
13,0.433,49.387,69.530,144.268,50.817,146.813,42.289,0.000017,0.023782,-0.002097,0.999715,0
14,0.467,50.867,71.298,146.339,48.659,147.423,41.730,0.000003,0.021388,-0.003856,0.999764,0
15,0.500,50.184,70.482,144.879,50.180,147.143,41.987,-0.000016,0.026400,-0.008029,0.999619,0
16,0.533,51.121,71.602,144.603,50.468,146.201,42.848,0.000008,0.024531,-0.002467,0.999696,0
17,0.567,50.896,71.332,143.560,51.554,146.494,42.580,-0.000029,0.027218,-0.008892,0.999590,0
