frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,12.570,36.066,112.137,84.299,116.018,69.159,0.008224,0.011911,0.066480,0.997683,0
1,0.033,12.855,36.409,114.036,82.269,118.329,67.027,0.008603,0.005937,0.063623,0.997919,0
2,0.067,12.925,36.493,114.157,82.140,117.345,67.935,0.009312,0.006199,0.071054,0.997410,0
3,0.100,13.575,37.275,113.623,82.710,117.160,68.106,0.007854,0.010770,0.060812,0.998060,0
4,0.133,13.927,37.698,113.811,82.509,116.477,68.736,0.008557,0.009650,0.066088,0.997730,0
5,0.167,13.198,36.822,113.052,83.321,116.927,68.321,0.008074,0.011311,0.063973,0.997855,0
6,0.200,14.212,38.041,111.821,84.636,114.428,70.625,0.007646,0.014119,0.060533,0.998037,0
7,0.233,13.942,37.716,113.454,82.891,115.757,69.400,0.009879,0.004732,0.078156,0.996881,0
8,0.267,13.936,37.710,113.098,83.271,115.705,69.447,0.009206,0.007542,0.071546,0.997366,0
9,0.300,14.438,38.313,112.937,83.443,114.886,70.202,0.009063,0.009192,0.073347,0.997223,0
10,0.333,13.346,36.999,112.863,83.522,116.369,68.835,0.008821,0.009336,0.070334,0.997441,0
11,0.367,13.897,37.662,111.720,84.744,113.938,71.077,0.009317,0.007981,0.075870,0.997042,0
12,0.400,13.243,36.876,112.775,83.617,115.977,69.197,0.009370,0.007196,0.074705,0.997136,0
13,0.433,13.869,37.629,113.416,82.931,115.838,69.325,0.009723,0.006094,0.077047,0.996961,0
14,0.467,14.766,38.707,113.285,83.072,115.266,69.852,0.008800,0.009713,0.071012,0.997389,0
15,0.500,14.373,38.234,113.296,83.059,116.321,68.879,0.008803,0.010154,0.070663,0.997410,0
16,0.533,13.729,37.460,113.655,82.676,116.089,69.093,0.009989,0.005173,0.079756,0.996751,0
17,0.567,13.693,37.417,116.142,80.019,118.907,66.495,0.010566,0.001240,0.080941,0.996662,0
18,0.600,12.800,36.343,114.445,81.832,118.906,66.496,0.008351,0.009543,0.063915,0.997875,0
19,0.633,13.348,37.001,112.660,83.739,114.990,70.106,0.008639,0.008709,0.065881,0.997752,0
20,0.667,13.736,37.468,112.030,84.413,112.155,72.721,0.008463,0.009227,0.070094,0.997462,0
21,0.700,12.918,36.484,113.160,83.205,115.166,69.944,0.009569,0.004109,0.074872,0.997139,0
22,0.733,13.124,36.732,113.105,83.263,115.954,69.218,0.009308,0.002138,0.068831,0.997583,0
23,0.767,14.746,38.683,111.423,85.061,111.475,73.347,0.008341,0.009829,0.065457,0.997772,0
24,0.800,14.899,38.867,112.803,83.587,113.603,71.385,0.008482,0.009165,0.066849,0.997685,0
25,0.833,17.223,41.662,111.266,85.229,109.574,75.100,0.008708,0.006980,0.068323,0.997601,0
26,0.867,14.635,38.550,113.576,82.760,115.477,69.657,0.008118,0.008836,0.058646,0.998207,0
27,0.900,12.952,36.525,113.914,82.399,117.097,68.164,0.009070,0.004937,0.066376,0.997741,0
28,0.933,12.654,36.167,115.343,80.873,119.407,66.033,0.009123,0.005901,0.066732,0.997712,0
29,0.967,12.138,35.547,113.735,82.590,117.805,67.511,0.008579,0.007904,0.065630,0.997776,0
30,1.000,11.966,35.340,114.262,82.027,118.530,66.842,0.009379,0.006596,0.071200,0.997396,0
31,1.033,12.977,36.556,116.176,79.982,119.776,65.694,0.010134,0.004239,0.077757,0.996912,0
32,1.067,13.318,36.966,114.733,81.525,118.175,67.170,0.008420,0.011674,0.066354,0.997692,0
33,1.100,12.846,36.399,115.542,80.659,119.914,65.567,0.009540,0.004113,0.075687,0.997077,0
34,1.133,13.649,37.363,114.983,81.257,118.629,66.751,0.008455,0.008085,0.066649,0.997708,0
35,1.167,13.743,37.477,114.992,81.248,117.279,67.996,0.009659,0.005124,0.075190,0.997109,0
36,1.200,13.908,37.675,114.322,81.964,118.464,66.903,0.008580,0.008754,0.069976,0.997473,0
37,1.233,13.709,37.437,114.710,81.549,118.714,66.673,0.010205,0.001056,0.079433,0.996787,0
38,1.267,13.921,37.691,115.047,81.189,118.904,66.498,0.009471,0.003454,0.071432,0.997395,0
39,1.300,14.810,38.760,114.532,81.739,116.582,68.638,0.008437,0.008342,0.064100,0.997873,0
40,1.333,13.819,37.569,113.236,83.124,116.247,68.947,0.008502,0.010331,0.068695,0.997548,0
41,1.367,14.272,38.113,116.096,80.068,119.296,66.136,0.009968,0.001635,0.079194,0.996808,0
42,1.400,13.974,37.754,112.861,83.525,115.790,69.369,0.008627,0.008796,0.069886,0.997479,0
43,1.433,13.613,37.321,113.321,83.033,116.953,68.296,0.009684,0.004834,0.077712,0.996917,0
44,1.467,13.416,37.084,113.014,83.361,115.024,70.075,0.009722,0.004920,0.078471,0.996857,0
45,1.500,13.814,37.562,114.170,82.126,116.628,68.596,0.009135,0.005716,0.072166,0.997334,0
46,1.533,13.544,37.237,111.629,84.841,113.259,71.703,0.980652,0.035464,-0.192292,0.009393,0
47,1.567,14.332,38.185,114.416,81.863,116.552,68.666,0.980018,0.034478,-0.195660,0.009637,0
48,1.600,13.471,37.150,113.586,82.750,115.023,70.076,0.978479,0.037180,-0.202670,0.010986,0
49,1.633,14.736,38.671,111.435,85.049,113.709,71.287,0.007696,0.013921,0.059311,0.998113,0
50,1.667,13.156,36.771,112.744,83.650,114.813,70.269,0.009530,0.006540,0.074936,0.997121,0
51,1.700,13.226,36.856,110.642,85.895,111.188,73.612,0.009159,0.008905,0.076576,0.996982,0
52,1.733,14.645,38.562,112.684,83.714,114.791,70.290,0.008145,0.013776,0.066051,0.997688,0
53,1.767,11.429,34.694,114.379,81.903,116.440,68.770,0.009480,0.006612,0.071047,0.997406,0
54,1.800,11.847,35.197,112.803,83.587,113.236,71.724,0.008554,0.007616,0.062679,0.997968,0
55,1.833,12.964,36.540,113.912,82.401,112.892,72.041,0.007674,0.013343,0.056888,0.998262,0
56,1.867,13.658,37.375,114.011,82.296,113.299,71.666,0.007156,0.012851,0.050913,0.998595,0
57,1.900,13.432,37.103,115.049,81.187,116.854,68.388,0.006819,0.015581,0.050197,0.998595,0
58,1.933,12.474,35.951,116.691,79.431,117.730,67.580,0.008239,0.010623,0.061052,0.998044,0
59,1.967,13.049,36.643,118.972,76.994,119.424,66.018,0.007588,0.012086,0.056485,0.998301,0
60,2.000,13.160,36.776,119.886,76.017,121.569,64.041,0.010047,0.001467,0.073772,0.997223,0
61,2.033,13.355,37.011,121.171,74.645,123.870,61.919,0.008533,0.007645,0.062364,0.997988,0
62,2.067,14.033,37.825,121.702,74.077,123.788,61.994,0.009292,0.002647,0.069776,0.997516,0
63,2.100,14.189,38.013,121.476,74.319,124.125,61.684,0.008026,0.004972,0.060314,0.998135,0
64,2.133,13.354,37.010,124.806,70.761,128.218,57.909,0.007162,0.008357,0.051999,0.998586,0
65,2.167,13.459,37.136,121.298,74.509,124.142,61.668,0.007370,0.010137,0.056181,0.998342,0
66,2.200,13.816,37.564,123.737,71.902,124.807,61.055,0.008941,0.002365,0.067556,0.997673,0
67,2.233,13.166,36.783,122.428,73.302,124.330,61.494,0.007862,0.005273,0.060861,0.998101,0
68,2.267,13.358,37.014,122.754,72.953,124.397,61.433,0.007749,0.006467,0.059230,0.998193,0
69,2.300,13.055,36.650,123.288,72.382,123.805,61.978,0.009713,0.000251,0.076499,0.997022,0
70,2.333,13.676,37.396,123.144,72.536,125.741,60.193,0.006993,0.010222,0.055287,0.998394,0
71,2.367,13.500,37.185,124.602,70.978,125.947,60.004,0.008314,0.005618,0.063749,0.997916,0
72,2.400,13.455,37.131,123.090,72.594,124.856,61.009,0.008817,-0.000128,0.066048,0.997778,0
73,2.433,12.818,36.364,122.516,73.208,124.272,61.548,0.008732,0.003349,0.068841,0.997584,0
74,2.467,13.378,37.038,124.709,70.864,125.684,60.246,0.008981,0.003242,0.070214,0.997486,0
75,2.500,12.660,36.175,124.817,70.749,126.296,59.682,0.008750,0.003601,0.066481,0.997743,0
76,2.533,12.425,35.892,123.153,72.527,124.606,61.240,0.009027,0.004756,0.068657,0.997588,0
77,2.567,13.990,37.774,121.721,74.057,123.141,62.591,0.008625,0.007123,0.065567,0.997785,0
78,2.600,13.395,37.058,122.106,73.646,123.584,62.183,0.009597,0.003733,0.071327,0.997400,0
79,2.633,13.502,37.187,120.390,75.480,119.523,65.927,0.011046,0.001956,0.085777,0.996251,0
80,2.667,12.984,36.565,120.457,75.407,119.830,65.644,0.010717,0.002880,0.076273,0.997025,0
81,2.700,13.187,36.808,120.541,75.318,120.210,65.294,0.010771,0.006937,0.074378,0.997148,0
82,2.733,13.619,37.328,118.057,77.972,118.150,67.193,0.009302,0.012712,0.063875,0.997834,0
83,2.767,14.258,38.096,117.156,78.935,115.838,69.324,0.009958,0.013040,0.067555,0.997581,0
84,2.800,13.727,37.458,115.537,80.665,114.997,70.100,0.009944,0.015483,0.064137,0.997771,0
85,2.833,13.023,36.611,113.661,82.670,112.508,72.395,0.011420,0.011868,0.073402,0.997166,0
86,2.867,15.687,39.815,111.835,84.621,108.088,76.471,0.010877,0.014999,0.074029,0.997084,0
87,2.900,14.189,38.013,108.770,87.897,106.998,77.475,0.008568,0.027117,0.051206,0.998283,0
88,2.933,14.553,38.450,108.719,87.951,106.536,77.901,0.010099,0.021487,0.058237,0.998020,0
89,2.967,15.573,39.677,108.359,88.336,102.960,81.198,0.014303,0.010537,0.082505,0.996432,0
90,3.000,15.578,39.684,105.514,91.375,99.795,84.117,0.012648,0.022310,0.067916,0.997361,0
91,3.033,17.243,41.686,107.655,89.088,102.772,81.371,0.015184,0.015477,0.078527,0.996676,0
92,3.067,16.160,40.384,105.178,91.735,98.652,85.171,0.015877,0.019463,0.081372,0.996367,0
93,3.100,17.153,41.578,104.543,92.413,98.883,84.958,0.014561,0.024123,0.068578,0.997248,0
94,3.133,18.251,42.899,104.106,92.880,98.351,85.448,0.014948,0.023072,0.067186,0.997362,0
95,3.167,18.788,43.544,101.164,96.023,92.456,90.884,0.016963,0.021372,0.079272,0.996479,0
96,3.200,22.119,47.550,94.926,102.689,81.964,100.557,0.013295,0.042190,0.066647,0.996796,0
97,3.233,18.449,43.136,98.497,98.873,88.048,94.948,0.016233,0.033307,0.075041,0.996492,0
98,3.267,21.126,46.356,96.050,101.489,83.025,99.579,0.017372,0.033275,0.080838,0.996020,0
